term;ngram_type
snack;unigram
sources;unigram
recommendation;unigram
kitkit;unigram
tripstrips;unigram
nonenone;unigram
surveysurvey;unigram
paspas;unigram
familyfamily;unigram
feelfeel;unigram
staystay;unigram
sitesite;unigram
recipesrecipes;unigram
resourcesresources;unigram
separateseparate;unigram
patientspatients;unigram
productproduct;unigram
yearsyears;unigram
companiescompanies;unigram
productsproducts;unigram
providersproviders;unigram
lunchlunch;unigram
somethingsomething;unigram
logologo;unigram
pocketpocket;unigram
packpack;unigram
foodfood;unigram
optionsoptions;unigram
commentcomment;unigram
trytry;unigram
useuse;unigram
remindersreminders;unigram
flavorsflavors;unigram
thingthing;unigram
pagepage;unigram
successessuccesses;unigram
proteinprotein;unigram
sourcessources;unigram
etcetc;unigram
recommendationrecommendation;unigram
email;unigram
would;unigram
rep;unigram
sign;unigram
kit;unigram
many;unigram
emails;unigram
time;unigram
person;unigram
emailsemails;unigram
either;unigram
look;unigram
mail;unigram
often;unigram
in-person;unigram
meeting;unigram
signsign;unigram
comments;unigram
questions;unigram
throughout;unigram
day;unigram
individual;unigram
recognize;unigram
compelling;unigram
subject;unigram
line;unigram
delete;unigram
without;unigram
reading;unigram
prevent;unigram
recommend;unigram
quick;unigram
heads;unigram
local;unigram
details;unigram
vs;unigram
sit;unigram
demo;unigram
come;unigram
directly;unigram
someone;unigram
clinician;unigram
knows;unigram
patient-kit;unigram
via;unigram
face-to-face;unigram
visit;unigram
could;unigram
improve;unigram
e-mail;unigram
communication;unigram
make;unigram
useful;unigram
tune;unigram
needs;unigram
constraints;unigram
specific;unigram
circumstances;unigram
might;unigram
efficient;unigram
thoughts;unigram
greatly;unigram
appreciated;unigram
face;unigram
dayday;unigram
lineline;unigram
deletedelete;unigram
preventprevent;unigram
detailsdetails;unigram
emailemail;unigram
knowsknows;unigram
patient-kitpatient-kit;unigram
visitvisit;unigram
communicationcommunication;unigram
circumstancescircumstances;unigram
thoughtsthoughts;unigram
prefer;unigram
form;unigram
judgement;unigram
feel;unigram
biased;unigram
understand;unigram
job;unigram
sell;unigram
think;unigram
product;unigram
value;unigram
use;unigram
way;unigram
likely;unigram
personal;unigram
perspective;unigram
frequently;unigram
like;unigram
free;unigram
things;unigram
mind;unigram
stress;unigram
ed;unigram
obligation;unigram
purchase;unigram
require;unigram
credit;unigram
card;unigram
agree;unigram
receive;unigram
already;unigram
please;unigram
see;unigram
previous;unigram
assist;unigram
provider;unigram
take;unigram
flexible;unigram
fit;unigram
schedule;unigram
request;unigram
becomes;unigram
white;unigram
noise;unigram
may;unigram
perceived;unigram
spam;unigram
increase;unigram
utilization;unigram
delivery;unigram
briefly;unigram
explain;unigram
purpose;unigram
address;unigram
initial;unigram
point;unigram
contact;unigram
future;unigram
usually;unigram
busy;unigram
effective;unigram
thanks;unigram
much;unigram
thoughtful;unigram
ashlyn;unigram
smith;unigram
pa;unigram
judgementjudgement;unigram
reprep;unigram
sellsell;unigram
looklook;unigram
thingsthings;unigram
purchasepurchase;unigram
cardcard;unigram
agreeagree;unigram
kitkit;unigram
requestrequest;unigram
noisenoise;unigram
spamspam;unigram
brieflybriefly;unigram
questionsquestions;unigram
meetingmeeting;unigram
effectiveeffective;unigram
thanksthanks;unigram
commentscomments;unigram
previous;unigram
see;unigram
comments;unigram
commentscomments;unigram
think;unigram
helpful;unigram
agree;unigram
coupons;unigram
ask;unigram
drink;unigram
please;unigram
materials;unigram
text;unigram
message;unigram
couponscoupons;unigram
kit;unigram
complete;unigram
provider;unigram
needs;unigram
use;unigram
none;unigram
time;unigram
others;unigram
electronic;unigram
survey;unigram
may;unigram
cumbersome;unigram
scare;unigram
older;unigram
generation;unigram
offering;unigram
feedback;unigram
put;unigram
additional;unigram
referrals;unigram
challenge;unigram
family;unigram
friends;unigram
try;unigram
product;unigram
lose;unigram
weight;unigram
stay;unigram
healthy;unigram
really;unigram
like;unigram
packaging;unigram
saying;unigram
one;unigram
equal;unigram
half;unigram
bagel;unigram
succinct;unigram
self;unigram
explanatory;unigram
lisa;unigram
jasper;unigram
rn;unigram
dnp;unigram
msn;unigram
fnp;unigram
mba;unigram
always;unigram
reminders;unigram
glucerna;unigram
day;unigram
website;unigram
patients;unigram
sign;unigram
recipes;unigram
diet;unigram
ideas;unigram
well;unigram
question;unigram
section;unigram
new;unigram
nothing;unigram
adequate;unigram
simple;unigram
enough;unigram
people;unigram
would;unigram
utilize;unigram
needsneeds;unigram
surveysurvey;unigram
scarescare;unigram
generationgeneration;unigram
feedbackfeedback;unigram
referralsreferrals;unigram
friendsfriends;unigram
productproduct;unigram
healthyhealthy;unigram
pleaseplease;unigram
materialsmaterials;unigram
helpfulhelpful;unigram
remindersreminders;unigram
ideasideas;unigram
messagemessage;unigram
nothingnothing;unigram
peoplepeople;unigram
previousprevious;unigram
exercises;unigram
exercisesexercises;unigram
coupons;unigram
protein;unigram
extra;unigram
help;unigram
exercise;unigram
idea;unigram
maybe;unigram
amounts;unigram
drinking;unigram
daily;unigram
couponscoupons;unigram
ideaidea;unigram
using;unigram
like;unigram
also;unigram
healthy;unigram
card;unigram
follow;unigram
supplement;unigram
well;unigram
type;unigram
encourage;unigram
increasing;unigram
activity;unigram
weight;unigram
lose;unigram
ex;unigram
chair;unigram
walking;unigram
minutes;unigram
floor;unigram
lisa;unigram
jasper;unigram
please;unigram
expand;unigram
mean;unigram
recommended;unigram
patients;unigram
calculator;unigram
tool;unigram
could;unigram
find;unigram
food;unigram
via;unigram
app;unigram
much;unigram
amountsamounts;unigram
helphelp;unigram
exerciseexercise;unigram
pleaseplease;unigram
patientspatients;unigram
stationary;unigram
bike;unigram
example;unigram
portion;unigram
review;unigram
plate;unigram
method;unigram
would;unigram
maintain;unigram
sustainability;unigram
brief;unigram
overview;unigram
basics;unigram
diabetes;unigram
eating;unigram
appropriate;unigram
carbohydrate;unigram
snacks;unigram
meals;unigram
maria;unigram
lena;unigram
walls;unigram
np;unigram
see;unigram
deficient;unigram
ashlyn;unigram
smith;unigram
pa;unigram
including;unigram
either;unigram
website;unigram
perhaps;unigram
include;unigram
direct;unigram
think;unigram
calorie;unigram
controlled;unigram
lot;unigram
people;unigram
looking;unigram
low;unigram
carb;unigram
options;unigram
require;unigram
refrigeration;unigram
web;unigram
site;unigram
sign;unigram
reminders;unigram
text;unigram
patient;unigram
document;unigram
development;unigram
similar;unigram
myfitnesspal;unigram
progress;unigram
ie;unigram
glucerna;unigram
documentation;unigram
receive;unigram
rewards;unigram
components;unigram
currently;unigram
page;unigram
take;unigram
clinician;unigram
response;unigram
last;unigram
question;unigram
abbott;unigram
variety;unigram
flavors;unigram
option;unigram
ideas;unigram
rn;unigram
dnp;unigram
msn;unigram
fnp;unigram
mba;unigram
thanks;unigram
clarifying;unigram
appreciated;unigram
reviewreview;unigram
sustainabilitysustainability;unigram
basicsbasics;unigram
healthyhealthy;unigram
supplementsupplement;unigram
mariamaria;unigram
tooltool;unigram
caloriecalorie;unigram
peoplepeople;unigram
foodfood;unigram
remindersreminders;unigram
documentdocument;unigram
ieie;unigram
dailydaily;unigram
documentationdocumentation;unigram
componentscomponents;unigram
questionquestion;unigram
ideasideas;unigram
thanksthanks;unigram
kits;unigram
starter;unigram
used;unigram
protein;unigram
kitskits;unigram
use;unigram
patient;unigram
insulin;unigram
pens;unigram
mentioned;unigram
calculator;unigram
servings;unigram
etc;unigram
pt;unigram
servingsservings;unigram
routinely;unigram
extra;unigram
needles;unigram
directions;unigram
fingerstick;unigram
log;unigram
none;unigram
please;unigram
see;unigram
earlier;unigram
response;unigram
provider;unigram
section;unigram
years;unigram
companies;unigram
included;unigram
thermal;unigram
carrier;unigram
travel;unigram
pouch;unigram
products;unigram
suggested;unigram
option;unigram
kit;unigram
also;unigram
favorite;unigram
mine;unigram
slide-rule;unigram
cho;unigram
fats;unigram
based;unigram
daily;unigram
caloric;unigram
intake;unigram
gestational;unigram
dm;unigram
pamphlet;unigram
made;unigram
easy;unigram
patients;unigram
know;unigram
many;unigram
include;unigram
meal;unigram
perhaps;unigram
something;unigram
similar;unigram
ashlyn;unigram
mostly;unigram
glucometers;unigram
videos;unigram
glucose;unigram
logs;unigram
primarily;unigram
samples;unigram
ed;unigram
materials;unigram
specific;unigram
tailor;unigram
needs;unigram
eg;unigram
pump;unigram
options;unigram
carb;unigram
counting;unigram
books;unigram
examples;unigram
never;unigram
directionsdirections;unigram
nonenone;unigram
sectionsection;unigram
companiescompanies;unigram
productsproducts;unigram
kitkit;unigram
caloriccaloric;unigram
pamphletpamphlet;unigram
patientspatients;unigram
mealmeal;unigram
ashlynashlyn;unigram
glucometersglucometers;unigram
penspens;unigram
logslogs;unigram
ptpt;unigram
optionsoptions;unigram
examplesexamples;unigram
people;unigram
patients;unigram
live;unigram
kit;unigram
peoplepeople;unigram
patientspatients;unigram
looking;unigram
busy;unigram
would;unigram
working;unigram
changes;unigram
may;unigram
like;unigram
responses;unigram
questions;unigram
thinking;unigram
influence;unigram
benefit;unigram
kitkit;unigram
need;unigram
meals;unigram
go;unigram
meal;unigram
options;unigram
work;unigram
many;unigram
help;unigram
lifestyle;unigram
living;unigram
thank;unigram
much;unigram
optionsoptions;unigram
busybusy;unigram
motivation;unigram
try;unigram
new;unigram
things;unigram
high;unigram
protein;unigram
diabetics;unigram
healthcare;unigram
make;unigram
healthy;unigram
eat;unigram
lose;unigram
weight;unigram
healthier;unigram
motivated;unigram
point;unigram
addition;unigram
great;unigram
suggestions;unigram
mentioned;unigram
also;unigram
think;unigram
whose;unigram
situations;unigram
interfere;unigram
attempts;unigram
children;unigram
partners;unigram
follow;unigram
plan;unigram
thus;unigram
family;unigram
faced;unigram
making;unigram
versions;unigram
parents;unigram
either;unigram
young;unigram
kiddos;unigram
teens;unigram
extracurriculars;unigram
professionals;unigram
long;unigram
commute;unigram
day;unigram
lunch;unigram
psychosocial;unigram
factors;unigram
leave;unigram
quick;unigram
easy;unigram
prepared;unigram
stay;unigram
track;unigram
additional;unigram
characteristics;unigram
might;unigram
patient;unigram
utilize;unigram
provides;unigram
perhaps;unigram
ages;unigram
example;unigram
use;unigram
wanting;unigram
changeschanges;unigram
suggestionssuggestions;unigram
situationssituations;unigram
partnerspartners;unigram
planplan;unigram
familyfamily;unigram
parentsparents;unigram
kiddoskiddos;unigram
professionalsprofessionals;unigram
dayday;unigram
factorsfactors;unigram
easyeasy;unigram
questionsquestions;unigram
characteristicscharacteristics;unigram
benefitbenefit;unigram
agesages;unigram
potential;unigram
malnutrition;unigram
supportive;unigram
partner;unigram
increase;unigram
chance;unigram
replacements;unigram
low;unigram
carb;unigram
snack;unigram
bmi;unigram
obese;unigram
diabetes;unigram
pre;unigram
eating;unigram
disorders;unigram
limited;unigram
mobility;unigram
trust;unigram
provider;unigram
providers;unigram
daily;unigram
ways;unigram
lives;unigram
simpler;unigram
know;unigram
health;unigram
literacy;unigram
understand;unigram
unmet;unigram
dietary;unigram
intake;unigram
various;unigram
reasons;unigram
see;unigram
trying;unigram
still;unigram
maintain;unigram
schedules;unigram
talking;unigram
strong;unigram
desire;unigram
focuses;unigram
specific;unigram
populations;unigram
individuals;unigram
cholesterol;unigram
intermittent;unigram
fasting;unigram
shown;unigram
benefits;unigram
wonderful;unigram
could;unigram
launch;unigram
easily;unigram
accessible;unigram
cost;unigram
effective;unigram
change;unigram
hit;unigram
barriers;unigram
frustrated;unigram
direction;unigram
want;unigram
complete;unigram
loss;unigram
program;unigram
simple;unigram
better;unigram
control;unigram
chronic;unigram
diseases;unigram
post;unigram
hospitalization;unigram
hunger;unigram
alone;unigram
cook;unigram
thoughtful;unigram
response;unigram
ashlyn;unigram
mealsmeals;unigram
partnerpartner;unigram
chancechance;unigram
lowlow;unigram
diabetesdiabetes;unigram
diabeticsdiabetics;unigram
waysways;unigram
literacyliteracy;unigram
proteinprotein;unigram
healthyhealthy;unigram
manymany;unigram
desiredesire;unigram
eateat;unigram
populationspopulations;unigram
cholesterolcholesterol;unigram
intermittentintermittent;unigram
newnew;unigram
lifestylelifestyle;unigram
barriersbarriers;unigram
programprogram;unigram
diseasesdiseases;unigram
useuse;unigram
ashlynashlyn;unigram
tracktrack;unigram
would;unigram
opinion;unigram
like;unigram
depends;unigram
use;unigram
opinionopinion;unigram
another;unigram
person;unigram
experience;unigram
love;unigram
hear;unigram
tips;unigram
experienceexperience;unigram
listen;unigram
try;unigram
kit;unigram
form;unigram
basing;unigram
good;unigram
reasons;unigram
proof;unigram
might;unigram
change;unigram
mind;unigram
yes;unigram
depend;unigram
knowledgeable;unigram
thought;unigram
healthcare;unigram
professional;unigram
regarding;unigram
product;unigram
lot;unigram
decisions;unigram
based;unigram
data;unigram
outcomes;unigram
agree;unigram
maria;unigram
lena;unigram
walls;unigram
np;unigram
ashlyn;unigram
smith;unigram
pa;unigram
providers;unigram
ideas;unigram
success;unigram
respect;unigram
opinions;unigram
peers;unigram
appreciate;unigram
value;unigram
input;unigram
compare;unigram
clinician;unigram
lack;unigram
sway;unigram
directly;unigram
clinicians;unigram
using;unigram
successfully;unigram
proofproof;unigram
knowledgeableknowledgeable;unigram
professionalprofessional;unigram
decisionsdecisions;unigram
outcomesoutcomes;unigram
mariamaria;unigram
npnp;unigram
papa;unigram
ideasideas;unigram
peerspeers;unigram
inputinput;unigram
useuse;unigram
cliniciansclinicians;unigram
electronic;unigram
would;unigram
paper;unigram
prefer;unigram
patients;unigram
patientspatients;unigram
could;unigram
give;unigram
people;unigram
choice;unigram
optional;unigram
concrete;unigram
something;unigram
everyone;unigram
used;unigram
surveys;unigram
best;unigram
much;unigram
manage;unigram
depends;unigram
patient;unigram
population;unigram
elderly;unigram
definitely;unigram
want;unigram
based;unigram
maybe;unigram
postage;unigram
paid;unigram
tri-fold;unigram
complete;unigram
fold;unigram
seal;unigram
drop;unigram
mail;unigram
short;unigram
survey;unigram
immediately;unigram
return;unigram
see;unigram
answer;unigram
previous;unigram
question;unigram
recommend;unigram
vast;unigram
majority;unigram
easier;unigram
choicechoice;unigram
everyoneeveryone;unigram
surveyssurveys;unigram
managemanage;unigram
paperpaper;unigram
postagepostage;unigram
mailmail;unigram
surveysurvey;unigram
returnreturn;unigram
questionquestion;unigram
electronicelectronic;unigram
notes;unigram
duopa;unigram
sure;unigram
needed;unigram
notesnotes;unigram
patients;unigram
make;unigram
think;unigram
submitting;unigram
communication;unigram
forms;unigram
would;unigram
process;unigram
formsforms;unigram
patientspatients;unigram
work;unigram
case;unigram
time;unigram
low;unigram
chart;unigram
dayanna;unigram
duoconnect;unigram
nurse;unigram
manager;unigram
information;unigram
criteria;unigram
approval;unigram
patient;unigram
managermanager;unigram
lowlow;unigram
criteriacriteria;unigram
numbers;unigram
ocegueda;unigram
specific;unigram
pretty;unigram
check;unigram
prior;unigram
everything;unigram
jessica;unigram
karl;unigram
necessary;unigram
tube;unigram
makes;unigram
much;unigram
enrollment;unigram
also;unigram
extra;unigram
based;unigram
documentation;unigram
sites;unigram
numbersnumbers;unigram
duopaduopa;unigram
really;unigram
talk;unigram
brought;unigram
proper;unigram
training;unigram
worked;unigram
closely;unigram
pivotal;unigram
list;unigram
go;unigram
documented;unigram
leonard;unigram
verhagen;unigram
addend;unigram
insurance;unigram
need;unigram
procedure;unigram
great;unigram
insights;unigram
workflow;unigram
question;unigram
neurologist;unigram
side;unigram
require;unigram
compared;unigram
advanced;unigram
therapies;unigram
prescription;unigram
submitted;unigram
phd;unigram
likely;unigram
start;unigram
guess;unigram
trainingtraining;unigram
informationinformation;unigram
approvalapproval;unigram
everythingeverything;unigram
karlkarl;unigram
processprocess;unigram
prescriptionprescription;unigram
thank;unigram
feedback;unigram
interested;unigram
learning;unigram
expand;unigram
often;unigram
speak;unigram
setup;unigram
advice;unigram
adjusted;unigram
better;unigram
good;unigram
number;unigram
may;unigram
might;unigram
know;unigram
wording;unigram
therapy;unigram
pa-c;unigram
least;unigram
send;unigram
something;unigram
involved;unigram
movement;unigram
disorder;unigram
never;unigram
quite;unigram
see;unigram
centers;unigram
help;unigram
practices;unigram
prescribing;unigram
complete;unigram
making;unigram
perhaps;unigram
provide;unigram
newer;unigram
examples;unigram
smart;unigram
dayannadayanna;unigram
feedbackfeedback;unigram
interestedinterested;unigram
adviceadvice;unigram
communicationcommunication;unigram
necessarynecessary;unigram
thinkthink;unigram
centerscenters;unigram
examplesexamples;unigram
sitessites;unigram
fairly;unigram
accurate;unigram
however;unigram
seen;unigram
steady;unigram
improvement;unigram
thanks;unigram
hard;unigram
carolyn;unigram
taylor;unigram
avram;unigram
fraint;unigram
pipeline;unigram
providers;unigram
must;unigram
enroll;unigram
request;unigram
candidates;unigram
surprised;unigram
end;unigram
always;unigram
try;unigram
note;unigram
includes;unigram
company;unigram
proceed;unigram
right;unigram
tend;unigram
book;unigram
weeks;unigram
bit;unigram
nice;unigram
fall;unigram
sense;unigram
center;unigram
prescribed;unigram
overcome;unigram
deficiencies;unigram
recall;unigram
early;unigram
resubmit;unigram
medical;unigram
assistant;unigram
coordinator;unigram
helped;unigram
immensely;unigram
submission;unigram
place;unigram
comment;unigram
requires;unigram
dbs;unigram
companies;unigram
look;unigram
approve;unigram
md;unigram
week;unigram
phone;unigram
able;unigram
e-mails;unigram
basis;unigram
things;unigram
run;unigram
smoother;unigram
correct;unigram
rectified;unigram
facilitator;unigram
advocate;unigram
followup;unigram
parkinson;unigram
clinic;unigram
starting;unigram
open;unigram
seems;unigram
high;unigram
experience;unigram
vanderbilt;unigram
encounter;unigram
one;unigram
neurologists;unigram
halt;unigram
seeing;unigram
placement;unigram
consult;unigram
say;unigram
actually;unigram
estimate;unigram
removed;unigram
tubes;unigram
put;unigram
various;unigram
reasons;unigram
including;unigram
dissatisfaction;unigram
either;unigram
lack;unigram
efficacy;unigram
average;unigram
peg-j;unigram
surprising;unigram
experiences;unigram
regarding;unigram
completeness;unigram
less;unigram
common;unigram
academic;unigram
mostly;unigram
adequate;unigram
staffing;unigram
resources;unigram
incomplete;unigram
community;unigram
support;unigram
staff;unigram
familiarity;unigram
specialty;unigram
medications;unigram
np;unigram
pa;unigram
submit;unigram
explanation;unigram
family;unigram
affects;unigram
key;unigram
proceduralist;unigram
mds;unigram
detailed;unigram
factors;unigram
written;unigram
pd;unigram
understand;unigram
affecting;unigram
qol;unigram
proceduralists;unigram
comfortable;unigram
moving;unigram
forward;unigram
especially;unigram
new;unigram
script;unigram
convert;unigram
emr;unigram
smartphrase;unigram
forcing;unigram
touch;unigram
upon;unigram
points;unigram
true;unigram
keeps;unigram
line;unigram
agree;unigram
idea;unigram
exact;unigram
delayed;unigram
rejected;unigram
could;unigram
phrases;unigram
even;unigram
easier;unigram
include;unigram
phrase;unigram
remind;unigram
labs;unigram
providersproviders;unigram
candidatescandidates;unigram
endend;unigram
notenote;unigram
companycompany;unigram
weeksweeks;unigram
centercenter;unigram
muchmuch;unigram
deficienciesdeficiencies;unigram
coordinatorcoordinator;unigram
placeplace;unigram
specificspecific;unigram
dbsdbs;unigram
companiescompanies;unigram
jessicajessica;unigram
talktalk;unigram
e-mailse-mails;unigram
basisbasis;unigram
thingsthings;unigram
followupfollowup;unigram
openopen;unigram
highhigh;unigram
vanderbiltvanderbilt;unigram
neurologistsneurologists;unigram
halthalt;unigram
consultconsult;unigram
therapytherapy;unigram
tubestubes;unigram
reasonsreasons;unigram
surprisingsurprising;unigram
experiencesexperiences;unigram
guessguess;unigram
communitycommunity;unigram
practicespractices;unigram
familiarityfamiliarity;unigram
medicationsmedications;unigram
npnp;unigram
numbernumber;unigram
familyfamily;unigram
keykey;unigram
mdsmds;unigram
factorsfactors;unigram
qolqol;unigram
comfortablecomfortable;unigram
somethingsomething;unigram
smartphrasesmartphrase;unigram
touchtouch;unigram
lineline;unigram
completecomplete;unigram
pa-cpa-c;unigram
ideaidea;unigram
newernewer;unigram
documentationdocumentation;unigram
phrasephrase;unigram
platform;unigram
helpful;unigram
virtually;unigram
much;unigram
discuss;unigram
real-time;unigram
would;unigram
also;unigram
still;unigram
harder;unigram
format;unigram
versus;unigram
person;unigram
yes;unigram
platformplatform;unigram
muchmuch;unigram
formatformat;unigram
personperson;unigram
instructions;unigram
simple;unigram
clear;unigram
think;unigram
kick-off;unigram
important;unigram
understand;unigram
expectation;unigram
use;unigram
adds;unigram
personal;unigram
touch;unigram
put;unigram
faces;unigram
names;unigram
group;unigram
walk;unigram
functionalities;unigram
slides;unigram
presented;unigram
virtual;unigram
meeting;unigram
represented;unigram
exactly;unigram
discussed;unigram
navigate;unigram
page;unigram
appreciated;unigram
transparency;unigram
system;unigram
operates;unigram
expectations;unigram
set;unigram
utilize;unigram
way;unigram
us;unigram
providers;unigram
giving;unigram
appropriate;unigram
feedback;unigram
insight;unigram
threads;unigram
thought;unigram
1-hour;unigram
kickoff;unigram
sufficient;unigram
providing;unigram
background;unigram
expected;unigram
participants;unigram
nice;unigram
see;unigram
everyone;unigram
oriented;unigram
website;unigram
terrible;unigram
typist;unigram
easier;unigram
answer;unigram
comment;unigram
instructionsinstructions;unigram
clearclear;unigram
touchtouch;unigram
functionalitiesfunctionalities;unigram
slidesslides;unigram
meetingmeeting;unigram
pagepage;unigram
systemsystem;unigram
expectationsexpectations;unigram
wayway;unigram
providersproviders;unigram
threadsthreads;unigram
sufficientsufficient;unigram
participantsparticipants;unigram
nicenice;unigram
everyoneeveryone;unigram
helpfulhelpful;unigram
yesyes;unigram
typisttypist;unigram
commentcomment;unigram
real-timereal-time;unigram
patients;unigram
would;unigram
helpful;unigram
duopa;unigram
account;unigram
executive;unigram
think;unigram
patientspatients;unigram
local;unigram
representative;unigram
marketing;unigram
patient;unigram
nurse;unigram
like;unigram
satisfied;unigram
may;unigram
better;unigram
could;unigram
younger;unigram
dyskinesias;unigram
sure;unigram
help;unigram
issue;unigram
providing;unigram
updates;unigram
regarding;unigram
company;unigram
changes;unigram
suggestions;unigram
well;unigram
treatment;unigram
also;unigram
feel;unigram
communication;unigram
need;unigram
involved;unigram
success;unigram
stories;unigram
abbvie;unigram
needs;unigram
show;unigram
controlled;unigram
post;unigram
data;unigram
dbs;unigram
ld;unigram
good;unigram
candidates;unigram
issueissue;unigram
updatesupdates;unigram
communicationcommunication;unigram
storiesstories;unigram
dyskinesiasdyskinesias;unigram
already;unigram
mandatorily;unigram
assigned;unigram
educator;unigram
tremendous;unigram
seen;unigram
felt;unigram
over-confident;unigram
abilities;unigram
since;unigram
tubes;unigram
ultimately;unigram
fail;unigram
seek;unigram
large;unigram
issues;unigram
tried;unigram
inappropriately;unigram
manipulate;unigram
connectors;unigram
entirely;unigram
fix;unigram
least;unigram
provide;unigram
opt;unigram
scenario;unigram
opposed;unigram
opt-in;unigram
support;unigram
maybe;unigram
semi-annual;unigram
annual;unigram
medication;unigram
along;unigram
specific;unigram
handouts;unigram
us;unigram
distribute;unigram
points;unigram
contact;unigram
clinic;unigram
procedures;unigram
none;unigram
pretty;unigram
update;unigram
side;unigram
harold;unigram
boutte;unigram
jr;unigram
md;unigram
mentioned;unigram
happy;unigram
believe;unigram
podcasts;unigram
targeted;unigram
potential;unigram
parkinson;unigram
physicians;unigram
initiated;unigram
conversation;unigram
gel;unigram
dedicated;unigram
gj;unigram
tube;unigram
facilitate;unigram
understanding;unigram
periodic;unigram
worthwhile;unigram
coordinated;unigram
zoom;unigram
conferences;unigram
line;unigram
consideration;unigram
basically;unigram
platform;unigram
families;unigram
ask;unigram
questions;unigram
panel;unigram
regulatory;unigram
thing;unigram
ambassadors;unigram
communicate;unigram
team;unigram
directly;unigram
currently;unigram
ambassador;unigram
speak;unigram
duoconnect;unigram
relay;unigram
correct;unigram
wrong;unigram
makes;unigram
less;unigram
familiar;unigram
disjointed;unigram
imagine;unigram
open;unigram
lines;unigram
responsive;unigram
interesting;unigram
point;unigram
general;unigram
tend;unigram
automatically;unigram
directed;unigram
towards;unigram
question;unigram
end;unigram
always;unigram
best;unigram
strategy;unigram
instance;unigram
young;unigram
fluctuators;unigram
significant;unigram
resistant;unigram
tremor;unigram
high;unigram
daily;unigram
doses;unigram
infusion;unigram
therapies;unigram
showing;unigram
possibility;unigram
change;unigram
image;unigram
therapy;unigram
suresure;unigram
patientpatient;unigram
educatoreducator;unigram
abilitiesabilities;unigram
tubestubes;unigram
issuesissues;unigram
connectorsconnectors;unigram
scenarioscenario;unigram
supportsupport;unigram
companycompany;unigram
handoutshandouts;unigram
nonenone;unigram
sideside;unigram
mdmd;unigram
suggestionssuggestions;unigram
podcastspodcasts;unigram
conversationconversation;unigram
treatmenttreatment;unigram
tubetube;unigram
lineline;unigram
familiesfamilies;unigram
panelpanel;unigram
thingthing;unigram
ambassadorsambassadors;unigram
teamteam;unigram
feelfeel;unigram
familiarfamiliar;unigram
generalgeneral;unigram
endend;unigram
ldld;unigram
therapiestherapies;unigram
possibilitypossibility;unigram
candidatescandidates;unigram
datadata;unigram
patients;unigram
patientspatients;unigram
duopa;unigram
patient;unigram
care;unigram
tube;unigram
process;unigram
experience;unigram
partner;unigram
start;unigram
may;unigram
carolyn;unigram
taylor;unigram
mind;unigram
one;unigram
therapy;unigram
jessica;unigram
karl;unigram
certain;unigram
also;unigram
reasons;unigram
tom;unigram
davis;unigram
speaking;unigram
mentor;unigram
line;unigram
lack;unigram
others;unigram
patientpatient;unigram
othersothers;unigram
agree;unigram
well;unigram
recommend;unigram
support;unigram
two;unigram
come;unigram
hesitant;unigram
procedure;unigram
would;unigram
reasonsreasons;unigram
processprocess;unigram
another;unigram
speak;unigram
sometimes;unigram
even;unigram
think;unigram
never;unigram
great;unigram
insights;unigram
leonard;unigram
verhagen;unigram
