term;document;value
less;0.txt;1
healthy;0.txt;1
options;0.txt;1
thought;0.txt;1
please;0.txt;1
comment;0.txt;1
regarding;0.txt;1
try;0.txt;1
buy;0.txt;1
additional;0.txt;1
enticement;0.txt;1
complete;0.txt;1
enhance;0.txt;1
use;0.txt;1
glucerna;0.txt;1
like;0.txt;1
idea;0.txt;1
text;0.txt;1
message;0.txt;1
reminders;0.txt;1
could;0.txt;1
also;0.txt;1
remind;0.txt;1
patient;0.txt;1
exercise;0.txt;1
sort;0.txt;1
approach;0.txt;1
overall;0.txt;1
wellness;0.txt;1
app;0.txt;1
variety;0.txt;1
flavors;0.txt;1
recipe;0.txt;1
pretty;0.txt;1
comprehensive;0.txt;1
thing;0.txt;1
might;0.txt;1
consider;0.txt;1
adding;0.txt;1
single;0.txt;1
back;0.txt;1
clinician;0.txt;1
questions;0.txt;1
barriers;0.txt;1
successes;0.txt;1
ensure;0.txt;1
max;0.txt;1
agree;0.txt;1
ashlyn;0.txt;1
meal;0.txt;1
snack;0.txt;1
sources;0.txt;1
recommendation;0.txt;1
kitkit;0.txt;1
tripstrips;0.txt;1
nonenone;0.txt;1
surveysurvey;0.txt;1
paspas;0.txt;1
familyfamily;0.txt;1
feelfeel;0.txt;1
staystay;0.txt;1
sitesite;0.txt;1
recipesrecipes;0.txt;1
resourcesresources;0.txt;1
separateseparate;0.txt;1
patientspatients;0.txt;1
productproduct;0.txt;1
yearsyears;0.txt;1
companiescompanies;0.txt;1
productsproducts;0.txt;1
providersproviders;0.txt;1
lunchlunch;0.txt;1
somethingsomething;0.txt;1
logologo;0.txt;1
pocketpocket;0.txt;1
packpack;0.txt;1
foodfood;0.txt;1
optionsoptions;0.txt;1
commentcomment;0.txt;1
trytry;0.txt;1
useuse;0.txt;1
remindersreminders;0.txt;1
flavorsflavors;0.txt;1
thingthing;0.txt;1
pagepage;0.txt;1
successessuccesses;0.txt;1
proteinprotein;0.txt;1
sourcessources;0.txt;1
etcetc;0.txt;1
recommendationrecommendation;0.txt;1
email;1.txt;9
would;1.txt;9
rep;1.txt;6
sign;1.txt;6
kit;1.txt;5
many;1.txt;5
emails;1.txt;5
time;1.txt;5
person;1.txt;4
emailsemails;1.txt;4
either;1.txt;3
look;1.txt;3
mail;1.txt;3
often;1.txt;3
in-person;1.txt;3
meeting;1.txt;3
signsign;1.txt;3
comments;1.txt;2
questions;1.txt;2
throughout;1.txt;2
day;1.txt;2
individual;1.txt;2
recognize;1.txt;2
compelling;1.txt;2
subject;1.txt;2
line;1.txt;2
delete;1.txt;2
without;1.txt;2
reading;1.txt;2
prevent;1.txt;2
recommend;1.txt;2
quick;1.txt;2
heads;1.txt;2
local;1.txt;2
details;1.txt;2
vs;1.txt;2
sit;1.txt;2
demo;1.txt;2
come;1.txt;2
directly;1.txt;2
someone;1.txt;2
clinician;1.txt;2
knows;1.txt;2
patient-kit;1.txt;2
via;1.txt;2
face-to-face;1.txt;2
visit;1.txt;2
could;1.txt;2
improve;1.txt;2
e-mail;1.txt;2
communication;1.txt;2
make;1.txt;2
useful;1.txt;2
tune;1.txt;2
needs;1.txt;2
constraints;1.txt;2
specific;1.txt;2
circumstances;1.txt;2
might;1.txt;2
efficient;1.txt;2
thoughts;1.txt;2
greatly;1.txt;2
appreciated;1.txt;2
face;1.txt;2
dayday;1.txt;2
lineline;1.txt;2
deletedelete;1.txt;2
preventprevent;1.txt;2
detailsdetails;1.txt;2
emailemail;1.txt;2
knowsknows;1.txt;2
patient-kitpatient-kit;1.txt;2
visitvisit;1.txt;2
communicationcommunication;1.txt;2
circumstancescircumstances;1.txt;2
thoughtsthoughts;1.txt;2
prefer;1.txt;1
form;1.txt;1
judgement;1.txt;1
feel;1.txt;1
biased;1.txt;1
understand;1.txt;1
job;1.txt;1
sell;1.txt;1
think;1.txt;1
product;1.txt;1
value;1.txt;1
use;1.txt;1
way;1.txt;1
likely;1.txt;1
personal;1.txt;1
perspective;1.txt;1
frequently;1.txt;1
like;1.txt;1
free;1.txt;1
things;1.txt;1
mind;1.txt;1
stress;1.txt;1
ed;1.txt;1
obligation;1.txt;1
purchase;1.txt;1
require;1.txt;1
credit;1.txt;1
card;1.txt;1
agree;1.txt;1
receive;1.txt;1
already;1.txt;1
please;1.txt;1
see;1.txt;1
previous;1.txt;1
assist;1.txt;1
provider;1.txt;1
take;1.txt;1
flexible;1.txt;1
fit;1.txt;1
schedule;1.txt;1
request;1.txt;1
becomes;1.txt;1
white;1.txt;1
noise;1.txt;1
may;1.txt;1
perceived;1.txt;1
spam;1.txt;1
increase;1.txt;1
utilization;1.txt;1
delivery;1.txt;1
briefly;1.txt;1
explain;1.txt;1
purpose;1.txt;1
address;1.txt;1
initial;1.txt;1
point;1.txt;1
contact;1.txt;1
future;1.txt;1
usually;1.txt;1
busy;1.txt;1
effective;1.txt;1
thanks;1.txt;1
much;1.txt;1
thoughtful;1.txt;1
ashlyn;1.txt;1
smith;1.txt;1
pa;1.txt;1
judgementjudgement;1.txt;1
reprep;1.txt;1
sellsell;1.txt;1
looklook;1.txt;1
thingsthings;1.txt;1
purchasepurchase;1.txt;1
cardcard;1.txt;1
agreeagree;1.txt;1
kitkit;1.txt;1
requestrequest;1.txt;1
noisenoise;1.txt;1
spamspam;1.txt;1
brieflybriefly;1.txt;1
questionsquestions;1.txt;1
meetingmeeting;1.txt;1
effectiveeffective;1.txt;1
thanksthanks;1.txt;1
commentscomments;1.txt;1
previous;10.txt;7
see;10.txt;6
comments;10.txt;6
commentscomments;10.txt;4
think;10.txt;3
helpful;10.txt;2
agree;10.txt;2
coupons;10.txt;2
ask;10.txt;2
drink;10.txt;2
please;10.txt;2
materials;10.txt;2
text;10.txt;2
message;10.txt;2
couponscoupons;10.txt;2
kit;10.txt;1
complete;10.txt;1
provider;10.txt;1
needs;10.txt;1
use;10.txt;1
none;10.txt;1
time;10.txt;1
others;10.txt;1
electronic;10.txt;1
survey;10.txt;1
may;10.txt;1
cumbersome;10.txt;1
scare;10.txt;1
older;10.txt;1
generation;10.txt;1
offering;10.txt;1
feedback;10.txt;1
put;10.txt;1
additional;10.txt;1
referrals;10.txt;1
challenge;10.txt;1
family;10.txt;1
friends;10.txt;1
try;10.txt;1
product;10.txt;1
lose;10.txt;1
weight;10.txt;1
stay;10.txt;1
healthy;10.txt;1
really;10.txt;1
like;10.txt;1
packaging;10.txt;1
saying;10.txt;1
one;10.txt;1
equal;10.txt;1
half;10.txt;1
bagel;10.txt;1
succinct;10.txt;1
self;10.txt;1
explanatory;10.txt;1
lisa;10.txt;1
jasper;10.txt;1
rn;10.txt;1
dnp;10.txt;1
msn;10.txt;1
fnp;10.txt;1
mba;10.txt;1
always;10.txt;1
reminders;10.txt;1
glucerna;10.txt;1
day;10.txt;1
website;10.txt;1
patients;10.txt;1
sign;10.txt;1
recipes;10.txt;1
diet;10.txt;1
ideas;10.txt;1
well;10.txt;1
question;10.txt;1
section;10.txt;1
new;10.txt;1
nothing;10.txt;1
adequate;10.txt;1
simple;10.txt;1
enough;10.txt;1
people;10.txt;1
would;10.txt;1
utilize;10.txt;1
needsneeds;10.txt;1
surveysurvey;10.txt;1
scarescare;10.txt;1
generationgeneration;10.txt;1
feedbackfeedback;10.txt;1
referralsreferrals;10.txt;1
friendsfriends;10.txt;1
productproduct;10.txt;1
healthyhealthy;10.txt;1
pleaseplease;10.txt;1
materialsmaterials;10.txt;1
helpfulhelpful;10.txt;1
remindersreminders;10.txt;1
ideasideas;10.txt;1
messagemessage;10.txt;1
nothingnothing;10.txt;1
peoplepeople;10.txt;1
previousprevious;10.txt;1
exercises;11.txt;9
exercisesexercises;11.txt;8
coupons;11.txt;5
protein;11.txt;5
extra;11.txt;3
help;11.txt;3
exercise;11.txt;3
idea;11.txt;3
maybe;11.txt;3
amounts;11.txt;3
drinking;11.txt;3
daily;11.txt;3
couponscoupons;11.txt;3
ideaidea;11.txt;3
using;11.txt;2
like;11.txt;2
also;11.txt;2
healthy;11.txt;2
card;11.txt;2
follow;11.txt;2
supplement;11.txt;2
well;11.txt;2
type;11.txt;2
encourage;11.txt;2
increasing;11.txt;2
activity;11.txt;2
weight;11.txt;2
lose;11.txt;2
ex;11.txt;2
chair;11.txt;2
walking;11.txt;2
minutes;11.txt;2
floor;11.txt;2
lisa;11.txt;2
jasper;11.txt;2
please;11.txt;2
expand;11.txt;2
mean;11.txt;2
recommended;11.txt;2
patients;11.txt;2
calculator;11.txt;2
tool;11.txt;2
could;11.txt;2
find;11.txt;2
food;11.txt;2
via;11.txt;2
app;11.txt;2
much;11.txt;2
amountsamounts;11.txt;2
helphelp;11.txt;2
exerciseexercise;11.txt;2
pleaseplease;11.txt;2
patientspatients;11.txt;2
stationary;11.txt;1
bike;11.txt;1
example;11.txt;1
portion;11.txt;1
review;11.txt;1
plate;11.txt;1
method;11.txt;1
would;11.txt;1
maintain;11.txt;1
sustainability;11.txt;1
brief;11.txt;1
overview;11.txt;1
basics;11.txt;1
diabetes;11.txt;1
eating;11.txt;1
appropriate;11.txt;1
carbohydrate;11.txt;1
snacks;11.txt;1
meals;11.txt;1
maria;11.txt;1
lena;11.txt;1
walls;11.txt;1
np;11.txt;1
see;11.txt;1
deficient;11.txt;1
ashlyn;11.txt;1
smith;11.txt;1
pa;11.txt;1
including;11.txt;1
either;11.txt;1
website;11.txt;1
perhaps;11.txt;1
include;11.txt;1
direct;11.txt;1
think;11.txt;1
calorie;11.txt;1
controlled;11.txt;1
lot;11.txt;1
people;11.txt;1
looking;11.txt;1
low;11.txt;1
carb;11.txt;1
options;11.txt;1
require;11.txt;1
refrigeration;11.txt;1
web;11.txt;1
site;11.txt;1
sign;11.txt;1
reminders;11.txt;1
text;11.txt;1
patient;11.txt;1
document;11.txt;1
development;11.txt;1
similar;11.txt;1
myfitnesspal;11.txt;1
progress;11.txt;1
ie;11.txt;1
glucerna;11.txt;1
documentation;11.txt;1
receive;11.txt;1
rewards;11.txt;1
components;11.txt;1
currently;11.txt;1
page;11.txt;1
take;11.txt;1
clinician;11.txt;1
response;11.txt;1
last;11.txt;1
question;11.txt;1
abbott;11.txt;1
variety;11.txt;1
flavors;11.txt;1
option;11.txt;1
ideas;11.txt;1
rn;11.txt;1
dnp;11.txt;1
msn;11.txt;1
fnp;11.txt;1
mba;11.txt;1
thanks;11.txt;1
clarifying;11.txt;1
appreciated;11.txt;1
reviewreview;11.txt;1
sustainabilitysustainability;11.txt;1
basicsbasics;11.txt;1
healthyhealthy;11.txt;1
supplementsupplement;11.txt;1
mariamaria;11.txt;1
tooltool;11.txt;1
caloriecalorie;11.txt;1
peoplepeople;11.txt;1
foodfood;11.txt;1
remindersreminders;11.txt;1
documentdocument;11.txt;1
ieie;11.txt;1
dailydaily;11.txt;1
documentationdocumentation;11.txt;1
componentscomponents;11.txt;1
questionquestion;11.txt;1
ideasideas;11.txt;1
thanksthanks;11.txt;1
kits;12.txt;4
starter;12.txt;3
used;12.txt;3
protein;12.txt;3
kitskits;12.txt;3
use;12.txt;2
patient;12.txt;2
insulin;12.txt;2
pens;12.txt;2
mentioned;12.txt;2
calculator;12.txt;2
servings;12.txt;2
etc;12.txt;2
pt;12.txt;2
servingsservings;12.txt;2
routinely;12.txt;1
extra;12.txt;1
needles;12.txt;1
directions;12.txt;1
fingerstick;12.txt;1
log;12.txt;1
none;12.txt;1
please;12.txt;1
see;12.txt;1
earlier;12.txt;1
response;12.txt;1
provider;12.txt;1
section;12.txt;1
years;12.txt;1
companies;12.txt;1
included;12.txt;1
thermal;12.txt;1
carrier;12.txt;1
travel;12.txt;1
pouch;12.txt;1
products;12.txt;1
suggested;12.txt;1
option;12.txt;1
kit;12.txt;1
also;12.txt;1
favorite;12.txt;1
mine;12.txt;1
slide-rule;12.txt;1
cho;12.txt;1
fats;12.txt;1
based;12.txt;1
daily;12.txt;1
caloric;12.txt;1
intake;12.txt;1
gestational;12.txt;1
dm;12.txt;1
pamphlet;12.txt;1
made;12.txt;1
easy;12.txt;1
patients;12.txt;1
know;12.txt;1
many;12.txt;1
include;12.txt;1
meal;12.txt;1
perhaps;12.txt;1
something;12.txt;1
similar;12.txt;1
ashlyn;12.txt;1
mostly;12.txt;1
glucometers;12.txt;1
videos;12.txt;1
glucose;12.txt;1
logs;12.txt;1
primarily;12.txt;1
samples;12.txt;1
ed;12.txt;1
materials;12.txt;1
specific;12.txt;1
tailor;12.txt;1
needs;12.txt;1
eg;12.txt;1
pump;12.txt;1
options;12.txt;1
carb;12.txt;1
counting;12.txt;1
books;12.txt;1
examples;12.txt;1
never;12.txt;1
directionsdirections;12.txt;1
nonenone;12.txt;1
sectionsection;12.txt;1
companiescompanies;12.txt;1
productsproducts;12.txt;1
kitkit;12.txt;1
caloriccaloric;12.txt;1
pamphletpamphlet;12.txt;1
patientspatients;12.txt;1
mealmeal;12.txt;1
ashlynashlyn;12.txt;1
glucometersglucometers;12.txt;1
penspens;12.txt;1
logslogs;12.txt;1
ptpt;12.txt;1
optionsoptions;12.txt;1
examplesexamples;12.txt;1
people;13.txt;13
patients;13.txt;10
live;13.txt;9
kit;13.txt;9
peoplepeople;13.txt;8
patientspatients;13.txt;7
looking;13.txt;6
busy;13.txt;6
would;13.txt;5
working;13.txt;5
changes;13.txt;4
may;13.txt;4
like;13.txt;4
responses;13.txt;4
questions;13.txt;4
thinking;13.txt;4
influence;13.txt;4
benefit;13.txt;4
kitkit;13.txt;4
need;13.txt;3
meals;13.txt;3
go;13.txt;3
meal;13.txt;3
options;13.txt;3
work;13.txt;3
many;13.txt;3
help;13.txt;3
lifestyle;13.txt;3
living;13.txt;3
thank;13.txt;3
much;13.txt;3
optionsoptions;13.txt;3
busybusy;13.txt;3
motivation;13.txt;2
try;13.txt;2
new;13.txt;2
things;13.txt;2
high;13.txt;2
protein;13.txt;2
diabetics;13.txt;2
healthcare;13.txt;2
make;13.txt;2
healthy;13.txt;2
eat;13.txt;2
lose;13.txt;2
weight;13.txt;2
healthier;13.txt;2
motivated;13.txt;2
point;13.txt;2
addition;13.txt;2
great;13.txt;2
suggestions;13.txt;2
mentioned;13.txt;2
also;13.txt;2
think;13.txt;2
whose;13.txt;2
situations;13.txt;2
interfere;13.txt;2
attempts;13.txt;2
children;13.txt;2
partners;13.txt;2
follow;13.txt;2
plan;13.txt;2
thus;13.txt;2
family;13.txt;2
faced;13.txt;2
making;13.txt;2
versions;13.txt;2
parents;13.txt;2
either;13.txt;2
young;13.txt;2
kiddos;13.txt;2
teens;13.txt;2
extracurriculars;13.txt;2
professionals;13.txt;2
long;13.txt;2
commute;13.txt;2
day;13.txt;2
lunch;13.txt;2
psychosocial;13.txt;2
factors;13.txt;2
leave;13.txt;2
quick;13.txt;2
easy;13.txt;2
prepared;13.txt;2
stay;13.txt;2
track;13.txt;2
additional;13.txt;2
characteristics;13.txt;2
might;13.txt;2
patient;13.txt;2
utilize;13.txt;2
provides;13.txt;2
perhaps;13.txt;2
ages;13.txt;2
example;13.txt;2
use;13.txt;2
wanting;13.txt;2
changeschanges;13.txt;2
suggestionssuggestions;13.txt;2
situationssituations;13.txt;2
partnerspartners;13.txt;2
planplan;13.txt;2
familyfamily;13.txt;2
parentsparents;13.txt;2
kiddoskiddos;13.txt;2
professionalsprofessionals;13.txt;2
dayday;13.txt;2
factorsfactors;13.txt;2
easyeasy;13.txt;2
questionsquestions;13.txt;2
characteristicscharacteristics;13.txt;2
benefitbenefit;13.txt;2
agesages;13.txt;2
potential;13.txt;1
malnutrition;13.txt;1
supportive;13.txt;1
partner;13.txt;1
increase;13.txt;1
chance;13.txt;1
replacements;13.txt;1
low;13.txt;1
carb;13.txt;1
snack;13.txt;1
bmi;13.txt;1
obese;13.txt;1
diabetes;13.txt;1
pre;13.txt;1
eating;13.txt;1
disorders;13.txt;1
limited;13.txt;1
mobility;13.txt;1
trust;13.txt;1
provider;13.txt;1
providers;13.txt;1
daily;13.txt;1
ways;13.txt;1
lives;13.txt;1
simpler;13.txt;1
know;13.txt;1
health;13.txt;1
literacy;13.txt;1
understand;13.txt;1
unmet;13.txt;1
dietary;13.txt;1
intake;13.txt;1
various;13.txt;1
reasons;13.txt;1
see;13.txt;1
trying;13.txt;1
still;13.txt;1
maintain;13.txt;1
schedules;13.txt;1
talking;13.txt;1
strong;13.txt;1
desire;13.txt;1
focuses;13.txt;1
specific;13.txt;1
populations;13.txt;1
individuals;13.txt;1
cholesterol;13.txt;1
intermittent;13.txt;1
fasting;13.txt;1
shown;13.txt;1
benefits;13.txt;1
wonderful;13.txt;1
could;13.txt;1
launch;13.txt;1
easily;13.txt;1
accessible;13.txt;1
cost;13.txt;1
effective;13.txt;1
change;13.txt;1
hit;13.txt;1
barriers;13.txt;1
frustrated;13.txt;1
direction;13.txt;1
want;13.txt;1
complete;13.txt;1
loss;13.txt;1
program;13.txt;1
simple;13.txt;1
better;13.txt;1
control;13.txt;1
chronic;13.txt;1
diseases;13.txt;1
post;13.txt;1
hospitalization;13.txt;1
hunger;13.txt;1
alone;13.txt;1
cook;13.txt;1
thoughtful;13.txt;1
response;13.txt;1
ashlyn;13.txt;1
mealsmeals;13.txt;1
partnerpartner;13.txt;1
chancechance;13.txt;1
lowlow;13.txt;1
diabetesdiabetes;13.txt;1
diabeticsdiabetics;13.txt;1
waysways;13.txt;1
literacyliteracy;13.txt;1
proteinprotein;13.txt;1
healthyhealthy;13.txt;1
manymany;13.txt;1
desiredesire;13.txt;1
eateat;13.txt;1
populationspopulations;13.txt;1
cholesterolcholesterol;13.txt;1
intermittentintermittent;13.txt;1
newnew;13.txt;1
lifestylelifestyle;13.txt;1
barriersbarriers;13.txt;1
programprogram;13.txt;1
diseasesdiseases;13.txt;1
useuse;13.txt;1
ashlynashlyn;13.txt;1
tracktrack;13.txt;1
would;14.txt;4
opinion;14.txt;3
like;14.txt;3
depends;14.txt;3
use;14.txt;3
opinionopinion;14.txt;3
another;14.txt;2
person;14.txt;2
experience;14.txt;2
love;14.txt;2
hear;14.txt;2
tips;14.txt;2
experienceexperience;14.txt;2
listen;14.txt;1
try;14.txt;1
kit;14.txt;1
form;14.txt;1
basing;14.txt;1
good;14.txt;1
reasons;14.txt;1
proof;14.txt;1
might;14.txt;1
change;14.txt;1
mind;14.txt;1
yes;14.txt;1
depend;14.txt;1
knowledgeable;14.txt;1
thought;14.txt;1
healthcare;14.txt;1
professional;14.txt;1
regarding;14.txt;1
product;14.txt;1
lot;14.txt;1
decisions;14.txt;1
based;14.txt;1
data;14.txt;1
outcomes;14.txt;1
agree;14.txt;1
maria;14.txt;1
lena;14.txt;1
walls;14.txt;1
np;14.txt;1
ashlyn;14.txt;1
smith;14.txt;1
pa;14.txt;1
providers;14.txt;1
ideas;14.txt;1
success;14.txt;1
respect;14.txt;1
opinions;14.txt;1
peers;14.txt;1
appreciate;14.txt;1
value;14.txt;1
input;14.txt;1
compare;14.txt;1
clinician;14.txt;1
lack;14.txt;1
sway;14.txt;1
directly;14.txt;1
clinicians;14.txt;1
using;14.txt;1
successfully;14.txt;1
proofproof;14.txt;1
knowledgeableknowledgeable;14.txt;1
professionalprofessional;14.txt;1
decisionsdecisions;14.txt;1
outcomesoutcomes;14.txt;1
mariamaria;14.txt;1
npnp;14.txt;1
papa;14.txt;1
ideasideas;14.txt;1
peerspeers;14.txt;1
inputinput;14.txt;1
useuse;14.txt;1
cliniciansclinicians;14.txt;1
electronic;15.txt;5
would;15.txt;3
paper;15.txt;3
prefer;15.txt;2
patients;15.txt;2
patientspatients;15.txt;2
could;15.txt;1
give;15.txt;1
people;15.txt;1
choice;15.txt;1
optional;15.txt;1
concrete;15.txt;1
something;15.txt;1
everyone;15.txt;1
used;15.txt;1
surveys;15.txt;1
best;15.txt;1
much;15.txt;1
manage;15.txt;1
depends;15.txt;1
patient;15.txt;1
population;15.txt;1
elderly;15.txt;1
definitely;15.txt;1
want;15.txt;1
based;15.txt;1
maybe;15.txt;1
postage;15.txt;1
paid;15.txt;1
tri-fold;15.txt;1
complete;15.txt;1
fold;15.txt;1
seal;15.txt;1
drop;15.txt;1
mail;15.txt;1
short;15.txt;1
survey;15.txt;1
immediately;15.txt;1
return;15.txt;1
see;15.txt;1
answer;15.txt;1
previous;15.txt;1
question;15.txt;1
recommend;15.txt;1
vast;15.txt;1
majority;15.txt;1
easier;15.txt;1
choicechoice;15.txt;1
everyoneeveryone;15.txt;1
surveyssurveys;15.txt;1
managemanage;15.txt;1
paperpaper;15.txt;1
postagepostage;15.txt;1
mailmail;15.txt;1
surveysurvey;15.txt;1
returnreturn;15.txt;1
questionquestion;15.txt;1
electronicelectronic;15.txt;1
notes;16.txt;16
duopa;16.txt;13
sure;16.txt;12
needed;16.txt;11
notesnotes;16.txt;11
patients;16.txt;10
make;16.txt;10
think;16.txt;9
submitting;16.txt;9
communication;16.txt;7
forms;16.txt;7
would;16.txt;7
process;16.txt;7
formsforms;16.txt;7
patientspatients;16.txt;7
work;16.txt;6
case;16.txt;6
time;16.txt;6
low;16.txt;6
chart;16.txt;6
dayanna;16.txt;5
duoconnect;16.txt;5
nurse;16.txt;5
manager;16.txt;5
information;16.txt;5
criteria;16.txt;5
approval;16.txt;5
patient;16.txt;5
managermanager;16.txt;5
lowlow;16.txt;5
criteriacriteria;16.txt;5
numbers;16.txt;4
ocegueda;16.txt;4
specific;16.txt;4
pretty;16.txt;4
check;16.txt;4
prior;16.txt;4
everything;16.txt;4
jessica;16.txt;4
karl;16.txt;4
necessary;16.txt;4
tube;16.txt;4
makes;16.txt;4
much;16.txt;4
enrollment;16.txt;4
also;16.txt;4
extra;16.txt;4
based;16.txt;4
documentation;16.txt;4
sites;16.txt;4
numbersnumbers;16.txt;4
duopaduopa;16.txt;4
really;16.txt;3
talk;16.txt;3
brought;16.txt;3
proper;16.txt;3
training;16.txt;3
worked;16.txt;3
closely;16.txt;3
pivotal;16.txt;3
list;16.txt;3
go;16.txt;3
documented;16.txt;3
leonard;16.txt;3
verhagen;16.txt;3
addend;16.txt;3
insurance;16.txt;3
need;16.txt;3
procedure;16.txt;3
great;16.txt;3
insights;16.txt;3
workflow;16.txt;3
question;16.txt;3
neurologist;16.txt;3
side;16.txt;3
require;16.txt;3
compared;16.txt;3
advanced;16.txt;3
therapies;16.txt;3
prescription;16.txt;3
submitted;16.txt;3
phd;16.txt;3
likely;16.txt;3
start;16.txt;3
guess;16.txt;3
trainingtraining;16.txt;3
informationinformation;16.txt;3
approvalapproval;16.txt;3
everythingeverything;16.txt;3
karlkarl;16.txt;3
processprocess;16.txt;3
prescriptionprescription;16.txt;3
thank;16.txt;2
feedback;16.txt;2
interested;16.txt;2
learning;16.txt;2
expand;16.txt;2
often;16.txt;2
speak;16.txt;2
setup;16.txt;2
advice;16.txt;2
adjusted;16.txt;2
better;16.txt;2
good;16.txt;2
number;16.txt;2
may;16.txt;2
might;16.txt;2
know;16.txt;2
wording;16.txt;2
therapy;16.txt;2
pa-c;16.txt;2
least;16.txt;2
send;16.txt;2
something;16.txt;2
involved;16.txt;2
movement;16.txt;2
disorder;16.txt;2
never;16.txt;2
quite;16.txt;2
see;16.txt;2
centers;16.txt;2
help;16.txt;2
practices;16.txt;2
prescribing;16.txt;2
complete;16.txt;2
making;16.txt;2
perhaps;16.txt;2
provide;16.txt;2
newer;16.txt;2
examples;16.txt;2
smart;16.txt;2
dayannadayanna;16.txt;2
feedbackfeedback;16.txt;2
interestedinterested;16.txt;2
adviceadvice;16.txt;2
communicationcommunication;16.txt;2
necessarynecessary;16.txt;2
thinkthink;16.txt;2
centerscenters;16.txt;2
examplesexamples;16.txt;2
sitessites;16.txt;2
fairly;16.txt;1
accurate;16.txt;1
however;16.txt;1
seen;16.txt;1
steady;16.txt;1
improvement;16.txt;1
thanks;16.txt;1
hard;16.txt;1
carolyn;16.txt;1
taylor;16.txt;1
avram;16.txt;1
fraint;16.txt;1
pipeline;16.txt;1
providers;16.txt;1
must;16.txt;1
enroll;16.txt;1
request;16.txt;1
candidates;16.txt;1
surprised;16.txt;1
end;16.txt;1
always;16.txt;1
try;16.txt;1
note;16.txt;1
includes;16.txt;1
company;16.txt;1
proceed;16.txt;1
right;16.txt;1
tend;16.txt;1
book;16.txt;1
weeks;16.txt;1
bit;16.txt;1
nice;16.txt;1
fall;16.txt;1
sense;16.txt;1
center;16.txt;1
prescribed;16.txt;1
overcome;16.txt;1
deficiencies;16.txt;1
recall;16.txt;1
early;16.txt;1
resubmit;16.txt;1
medical;16.txt;1
assistant;16.txt;1
coordinator;16.txt;1
helped;16.txt;1
immensely;16.txt;1
submission;16.txt;1
place;16.txt;1
comment;16.txt;1
requires;16.txt;1
dbs;16.txt;1
companies;16.txt;1
look;16.txt;1
approve;16.txt;1
md;16.txt;1
week;16.txt;1
phone;16.txt;1
able;16.txt;1
e-mails;16.txt;1
basis;16.txt;1
things;16.txt;1
run;16.txt;1
smoother;16.txt;1
correct;16.txt;1
rectified;16.txt;1
facilitator;16.txt;1
advocate;16.txt;1
followup;16.txt;1
parkinson;16.txt;1
clinic;16.txt;1
starting;16.txt;1
open;16.txt;1
seems;16.txt;1
high;16.txt;1
experience;16.txt;1
vanderbilt;16.txt;1
encounter;16.txt;1
one;16.txt;1
neurologists;16.txt;1
halt;16.txt;1
seeing;16.txt;1
placement;16.txt;1
consult;16.txt;1
say;16.txt;1
actually;16.txt;1
estimate;16.txt;1
removed;16.txt;1
tubes;16.txt;1
put;16.txt;1
various;16.txt;1
reasons;16.txt;1
including;16.txt;1
dissatisfaction;16.txt;1
either;16.txt;1
lack;16.txt;1
efficacy;16.txt;1
average;16.txt;1
peg-j;16.txt;1
surprising;16.txt;1
experiences;16.txt;1
regarding;16.txt;1
completeness;16.txt;1
