term;document_corpus;value
affect;36.txt_adboard_data;0.0044352788342795334
trouble;8.txt_adboard_data;0.001997677446933688
think;3.txt_adboard_data;0.0013005312824819776
significant;18.txt_adboard_data;0.008275189171000626
avram;38.txt_adboard_data;0.008089755074378575
fielding;24.txt_adboard_data;0.0030045081445827736
block;31.txt_adboard_data;0.005713187794929704
adds;20.txt_adboard_data;0.009508944647404356
tremendous;18.txt_adboard_data;0.008275189171000626
answering;24.txt_adboard_data;0.0021156632508383478
simpler;13.txt_adboard_data;0.006196587151744546
usual;25.txt_adboard_data;0.004432135217010505
autopilot;25.txt_adboard_data;0.006294189943566624
training;25.txt_adboard_data;0.014265316300136999
reasons;14.txt_adboard_data;0.017201373947626022
would;13.txt_adboard_data;0.0015409138418032908
standpoint;0.txt_adboard_data;0.010343456469264076
without;38.txt_adboard_data;0.006513251454979887
meeting;26.txt_adboard_data;0.003995429156539052
procedureprocedure;30.txt_adboard_data;0.0069124875336564135
become;5.txt_adboard_data;0.01171132182339633
sooner;36.txt_adboard_data;0.0038398821997594683
would;34.txt_adboard_data;0.00039650343978109076
different;27.txt_adboard_data;0.015418087428585203
virtually;17.txt_adboard_data;0.07249019726746471
already;26.txt_adboard_data;0.00788152618891723
long;24.txt_adboard_data;0.0013221120752625179
staffstaff;33.txt_adboard_data;0.007010616026906697
glucernaglucerna;6.txt_adboard_data;0.009588650432204325
start;38.txt_adboard_data;0.006985084028268624
useuse;35.txt_adboard_data;0.007325350190184002
cost;4.txt_adboard_data;0.013001551427845906
adn;4.txt_adboard_data;0.01037310633157628
letter;9.txt_adboard_data;0.015658441784647894
reminders;8.txt_adboard_data;0.007111620185131909
center;19.txt_adboard_data;0.00223207038034408
oriented;17.txt_adboard_data;0.029708576533634463
typically;24.txt_adboard_data;0.0015548645610649295
placementplacement;23.txt_adboard_data;0.0047390399936970366
priority;6.txt_adboard_data;0.023578235344154336
trying;13.txt_adboard_data;0.004986099891635563
would;30.txt_adboard_data;0.0009110551891292313
often;22.txt_adboard_data;0.014661878483488154
enhance;4.txt_adboard_data;0.011754939409330768
white;1.txt_adboard_data;0.013168695272001091
delay;21.txt_adboard_data;0.012378790516985093
course;23.txt_adboard_data;0.0062393504171164
pump;38.txt_adboard_data;0.007506670739445982
account;18.txt_adboard_data;0.03682401432886736
on-boarding;34.txt_adboard_data;0.011321866057025329
buy-in;5.txt_adboard_data;0.005603756746093437
great;36.txt_adboard_data;0.00362643307844997
needneed;29.txt_adboard_data;0.004939282052277482
thinkthink;9.txt_adboard_data;0.003939152077562687
appreciated;8.txt_adboard_data;0.0017779050462829772
might;9.txt_adboard_data;0.007357277945606632
take;0.txt_adboard_data;0.020217966524907847
patient;25.txt_adboard_data;0.0008401225895070552
programprogram;29.txt_adboard_data;0.010678503446254144
nurse;16.txt_adboard_data;0.007201841401401133
overalloverall;8.txt_adboard_data;0.0023074292483914152
referralsreferrals;31.txt_adboard_data;0.0040230150431326125
email;1.txt_adboard_data;0.06133444460030593
surveysurvey;7.txt_adboard_data;0.059691749057310846
savvy;8.txt_adboard_data;0.0046148584967828305
worthwhile;18.txt_adboard_data;0.009558306601722666
much;27.txt_adboard_data;0.002431756302132781
facilitiesfacilities;22.txt_adboard_data;0.008862940493327705
placement;23.txt_adboard_data;0.007054567259549262
immediate;31.txt_adboard_data;0.0040230150431326125
periodic;18.txt_adboard_data;0.01175181033767186
pump;12.txt_adboard_data;0.012531797432794119
vs;20.txt_adboard_data;0.02852683394221307
least;18.txt_adboard_data;0.005593866828003147
basis;25.txt_adboard_data;0.005119364213804004
adopt;38.txt_adboard_data;0.014952598446259222
representativerepresentative;6.txt_adboard_data;0.011789117672077168
soundssounds;8.txt_adboard_data;0.0046148584967828305
deal;19.txt_adboard_data;0.008108981552558944
schedule;23.txt_adboard_data;0.01030462518754023
lines;18.txt_adboard_data;0.01175181033767186
wanting;13.txt_adboard_data;0.012393174303489091
would;14.txt_adboard_data;0.0054759211893978
happy;27.txt_adboard_data;0.008219274040117998
however;7.txt_adboard_data;0.008146260349239511
makes;9.txt_adboard_data;0.005753929932563631
beholder;2.txt_adboard_data;0.029012281771127406
dayday;35.txt_adboard_data;0.01856823765677539
placemat;29.txt_adboard_data;0.034869221283608524
coaxial;24.txt_adboard_data;0.006009016289165547
going;26.txt_adboard_data;0.004698808306787904
improvementsimprovements;26.txt_adboard_data;0.009079638304900509
tab;8.txt_adboard_data;0.0056739069009997065
major;36.txt_adboard_data;0.017741115337118134
literature;36.txt_adboard_data;0.0044352788342795334
turn;27.txt_adboard_data;0.011798534711501416
fairly;31.txt_adboard_data;0.0035804272393606417
medicine;24.txt_adboard_data;0.0024437094548093547
detail;28.txt_adboard_data;0.009685036214948881
agree;30.txt_adboard_data;0.0010902445067355374
amp;24.txt_adboard_data;0.007331128364428064
thakkar;26.txt_adboard_data;0.004698808306787904
patients;27.txt_adboard_data;0.000847908223585264
years;12.txt_adboard_data;0.013505210950615472
however;30.txt_adboard_data;0.0020115984400048527
informationinformation;32.txt_adboard_data;0.011004245959760753
age;8.txt_adboard_data;0.00851086035149956
liked;5.txt_adboard_data;0.0043177693981158016
possiblepossible;22.txt_adboard_data;0.007208651279580818
adjustments;31.txt_adboard_data;0.005713187794929704
much;20.txt_adboard_data;0.004527488097061759
use;25.txt_adboard_data;0.0009797929674155222
caloric;12.txt_adboard_data;0.030690678237225686
comments;6.txt_adboard_data;0.006822315791041582
everyone;17.txt_adboard_data;0.013073044200195776
experienceexperience;19.txt_adboard_data;0.007331477889443231
peoplepeople;36.txt_adboard_data;0.0022266482956946965
though;29.txt_adboard_data;0.006138403234826756
however;0.txt_adboard_data;0.00510498981885676
fall;16.txt_adboard_data;0.004048826925126491
status;2.txt_adboard_data;0.029012281771127406
never;3.txt_adboard_data;0.021041341542702076
travel;12.txt_adboard_data;0.024962189141688948
logslogs;12.txt_adboard_data;0.030690678237225686
smooth;31.txt_adboard_data;0.0032371294681080116
agree;36.txt_adboard_data;0.005484842408334731
process;33.txt_adboard_data;0.0025227435508432348
personalizing;9.txt_adboard_data;0.011118479241629665
update;18.txt_adboard_data;0.009558306601722666
thinkthink;23.txt_adboard_data;0.003527283629774631
point;18.txt_adboard_data;0.0031820312202598027
directed;18.txt_adboard_data;0.009558306601722666
ask;32.txt_adboard_data;0.008859776389938971
reminders;11.txt_adboard_data;0.009861346210103462
duopa;22.txt_adboard_data;0.011177440102305952
office;6.txt_adboard_data;0.015563147857375925
placeplace;16.txt_adboard_data;0.004048826925126491
nurses;31.txt_adboard_data;0.0040230150431326125
opinion;24.txt_adboard_data;0.006346989752515043
know;9.txt_adboard_data;0.004929343166515827
nice;24.txt_adboard_data;0.0011415752214484322
responsive;18.txt_adboard_data;0.007364802865773472
reason;19.txt_adboard_data;0.009111358111624383
tubetube;21.txt_adboard_data;0.01734820049643765
boutte;18.txt_adboard_data;0.006658652386931036
presented;17.txt_adboard_data;0.020919678224289584
abilities;8.txt_adboard_data;0.0046148584967828305
emails;0.txt_adboard_data;0.013424110605086055
bumper;32.txt_adboard_data;0.012503609652203056
valuevalue;4.txt_adboard_data;0.01037310633157628
physicians;18.txt_adboard_data;0.006658652386931036
vanderbiltvanderbilt;16.txt_adboard_data;0.0049779786416947825
come;1.txt_adboard_data;0.010006999813547957
approval;24.txt_adboard_data;0.0017023739112218507
pieces;34.txt_adboard_data;0.009208612457757203
touchpointstouchpoints;26.txt_adboard_data;0.009079638304900509
night;19.txt_adboard_data;0.004313091831247744
well;8.txt_adboard_data;0.0019023059231351928
important;25.txt_adboard_data;0.002570080490454387
communication;18.txt_adboard_data;0.008930297301963683
personperson;30.txt_adboard_data;0.0036849985188620094
tubetube;24.txt_adboard_data;0.007991026550139025
starting;24.txt_adboard_data;0.006346989752515043
trytry;26.txt_adboard_data;0.0051445822842792355
nutritious;8.txt_adboard_data;0.0028369534504998533
since;19.txt_adboard_data;0.0030561598000137915
reasonable;22.txt_adboard_data;0.006240954124191404
risky;23.txt_adboard_data;0.009955957283389565
systemsystem;25.txt_adboard_data;0.005119364213804004
approving;22.txt_adboard_data;0.008862940493327705
md;22.txt_adboard_data;0.002741342981486327
bring;21.txt_adboard_data;0.012378790516985093
care;26.txt_adboard_data;0.006433627354063263
participate;40.txt_adboard_data;0.0554206401127406
store;23.txt_adboard_data;0.008097653850252982
means;34.txt_adboard_data;0.009208612457757203
disease;25.txt_adboard_data;0.004432135217010505
cons;40.txt_adboard_data;0.03406946850187439
preoperative;23.txt_adboard_data;0.009955957283389565
helpful;29.txt_adboard_data;0.005055209810917724
much;36.txt_adboard_data;0.0018282808027782432
hdls;8.txt_adboard_data;0.0056739069009997065
abbvie;31.txt_adboard_data;0.0018902544875635497
involved;16.txt_adboard_data;0.0037828069000275123
wellness;0.txt_adboard_data;0.016504764740908034
fortunatefortunate;25.txt_adboard_data;0.006294189943566624
fluctuators;31.txt_adboard_data;0.004646807517145173
prolonged;23.txt_adboard_data;0.009955957283389565
often;24.txt_adboard_data;0.002982197613874532
earlier;0.txt_adboard_data;0.009351707352312033
previousprevious;10.txt_adboard_data;0.02813312171745688
sometimes;23.txt_adboard_data;0.01030462518754023
centercenter;33.txt_adboard_data;0.007010616026906697
covid;34.txt_adboard_data;0.007095358858489077
resource;29.txt_adboard_data;0.049624268948917326
riskyrisky;23.txt_adboard_data;0.009955957283389565
etc;40.txt_adboard_data;0.012070429301889334
agree;1.txt_adboard_data;0.002207551820375858
stay;10.txt_adboard_data;0.013391378164007534
people;13.txt_adboard_data;0.04053032777435352
mde;26.txt_adboard_data;0.009079638304900509
first;30.txt_adboard_data;0.003095730153500866
right;33.txt_adboard_data;0.01421711998109111
doubtdoubt;19.txt_adboard_data;0.008626183662495488
remains;31.txt_adboard_data;0.005713187794929704
duoconnect;38.txt_adboard_data;0.026252404717559324
comments;9.txt_adboard_data;0.006434219982569157
useful;28.txt_adboard_data;0.0213534733052917
hurdleshurdles;31.txt_adboard_data;0.005713187794929704
alarms;19.txt_adboard_data;0.003508042841050363
try;10.txt_adboard_data;0.007128661700488838
similarly;31.txt_adboard_data;0.004646807517145173
etcetc;40.txt_adboard_data;0.023990456679231175
coupons;8.txt_adboard_data;0.027326417587924774
seem;34.txt_adboard_data;0.006415043153262827
deal;35.txt_adboard_data;0.011242887466591387
navigate;39.txt_adboard_data;0.02721103501030957
setting;30.txt_adboard_data;0.004579614322305075
bmi;13.txt_adboard_data;0.008799933807356181
additionaddition;4.txt_adboard_data;0.007304356921888821
know;33.txt_adboard_data;0.004413942674574494
many;12.txt_adboard_data;0.009492749663163397
went;27.txt_adboard_data;0.011798534711501416
may;31.txt_adboard_data;0.0022087378250778976
stay;0.txt_adboard_data;0.007856275189551086
ensure;31.txt_adboard_data;0.0032371294681080116
pump;25.txt_adboard_data;0.002570080490454387
earlier;12.txt_adboard_data;0.01738953846504304
myfitnesspal;11.txt_adboard_data;0.01573547485891656
neurologists;27.txt_adboard_data;0.007507080458891612
without;20.txt_adboard_data;0.004784279250567044
nice;16.txt_adboard_data;0.0018914034500137561
support;24.txt_adboard_data;0.0008693484927904928
pierce;24.txt_adboard_data;0.012693979505030087
ambassadorsambassadors;18.txt_adboard_data;0.009558306601722666
risk;32.txt_adboard_data;0.01760915675445251
order;36.txt_adboard_data;0.0028220449302147617
fats;12.txt_adboard_data;0.030690678237225686
prefer;15.txt_adboard_data;0.04395210114110401
extremely;38.txt_adboard_data;0.011521176760318897
felt;39.txt_adboard_data;0.017313627004290566
question;11.txt_adboard_data;0.004867045378147335
commentcomment;0.txt_adboard_data;0.008541389322116679
additional;4.txt_adboard_data;0.011823913187516162
sure;16.txt_adboard_data;0.01617461446008736
information;3.txt_adboard_data;0.013156767939059373
numbersnumbers;16.txt_adboard_data;0.014021232053813395
communicatingcommunicating;31.txt_adboard_data;0.005713187794929704
benefit;13.txt_adboard_data;0.013374284110997746
year;8.txt_adboard_data;0.0017779050462829772
questionsquestions;35.txt_adboard_data;0.03157740144974825
literally;39.txt_adboard_data;0.03345560420454331
enrolled;19.txt_adboard_data;0.004313091831247744
delaying;23.txt_adboard_data;0.009955957283389565
perspectiveperspective;23.txt_adboard_data;0.0062393504171164
question;31.txt_adboard_data;0.005301335581120482
knowledgeable;24.txt_adboard_data;0.006346989752515043
clinic;34.txt_adboard_data;0.004011209737518101
choicechoice;15.txt_adboard_data;0.053819885024700115
patient;7.txt_adboard_data;0.0052731098703102395
willing;30.txt_adboard_data;0.012227378488184329
ability;39.txt_adboard_data;0.023558196198524305
followupfollowup;16.txt_adboard_data;0.0049779786416947825
opinions;14.txt_adboard_data;0.03909023228109798
lab;22.txt_adboard_data;0.007208651279580818
challenge;0.txt_adboard_data;0.009351707352312033
muchmuch;17.txt_adboard_data;0.03366614646832332
thakkarthakkar;21.txt_adboard_data;0.009538023383542694
great;8.txt_adboard_data;0.005659895171331771
readily;23.txt_adboard_data;0.008097653850252982
mechanisms;34.txt_adboard_data;0.009208612457757203
neurologyneurology;28.txt_adboard_data;0.008619547057720063
see;13.txt_adboard_data;0.0009898938405212769
symptomssymptoms;24.txt_adboard_data;0.0048874189096187095
runs;30.txt_adboard_data;0.005289710833878043
addend;16.txt_adboard_data;0.014933935925084348
prefer;23.txt_adboard_data;0.0040652747704238296
surgeonsurgeon;22.txt_adboard_data;0.014417302559161635
agreed;36.txt_adboard_data;0.0044352788342795334
smaller;5.txt_adboard_data;0.03444872047035536
mealsmeals;13.txt_adboard_data;0.007157404943470054
carolyn;36.txt_adboard_data;0.004453296591389393
logisticslogistics;25.txt_adboard_data;0.006294189943566624
falling;32.txt_adboard_data;0.012503609652203056
section;33.txt_adboard_data;0.014021232053813395
questions;24.txt_adboard_data;0.01141575221448432
quick;1.txt_adboard_data;0.013629876577845763
post-tube;28.txt_adboard_data;0.027507941234846726
see;3.txt_adboard_data;0.0041773520069997875
person;14.txt_adboard_data;0.02418153072090044
well;10.txt_adboard_data;0.0047161334344393326
easier;31.txt_adboard_data;0.002956634765348081
goodgood;32.txt_adboard_data;0.006470749486452029
threads;17.txt_adboard_data;0.029708576533634463
pa-c;27.txt_adboard_data;0.0051393624761950675
value;14.txt_adboard_data;0.02752589240038103
neurologist;30.txt_adboard_data;0.006191460307001732
partner;19.txt_adboard_data;0.024326944657676836
try;14.txt_adboard_data;0.009905087836468702
carolyn;31.txt_adboard_data;0.018662738330684166
cheat;25.txt_adboard_data;0.006294189943566624
doctorsdoctors;22.txt_adboard_data;0.008862940493327705
may;2.txt_adboard_data;0.01682437015196055
allowed;38.txt_adboard_data;0.011521176760318897
assist;28.txt_adboard_data;0.008619547057720063
support;18.txt_adboard_data;0.003400363092053953
issuesissues;18.txt_adboard_data;0.004465148650981842
team;27.txt_adboard_data;0.012591969575262294
flavor;5.txt_adboard_data;0.016811270238280312
thought;17.txt_adboard_data;0.015374500779810023
investing;4.txt_adboard_data;0.02074621266315256
personperson;40.txt_adboard_data;0.019303983066699153
lose;11.txt_adboard_data;0.022160676085052525
invaluable;38.txt_adboard_data;0.03676804026439909
based;4.txt_adboard_data;0.0032084433219071815
enhancements;36.txt_adboard_data;0.016359348311472725
therapytherapy;34.txt_adboard_data;0.004982105259220952
houghton;26.txt_adboard_data;0.0051445822842792355
partpart;34.txt_adboard_data;0.007095358858489077
sheet;28.txt_adboard_data;0.013753970617423363
long;0.txt_adboard_data;0.007262802333442097
based;9.txt_adboard_data;0.0034389901474334464
require;16.txt_adboard_data;0.006571570475969727
movement;25.txt_adboard_data;0.005140160980908774
particular;31.txt_adboard_data;0.0035804272393606417
provided;28.txt_adboard_data;0.009685036214948881
parkinson;24.txt_adboard_data;0.01506328612028749
explaining;9.txt_adboard_data;0.0180863765637387
experiences;16.txt_adboard_data;0.004048826925126491
detailed;16.txt_adboard_data;0.0035053080134533486
placement;27.txt_adboard_data;0.0051393624761950675
problemsproblems;31.txt_adboard_data;0.0032371294681080116
nieceniece;8.txt_adboard_data;0.0056739069009997065
going;23.txt_adboard_data;0.005152312593770115
duoconnect;16.txt_adboard_data;0.01184759998424259
stay;21.txt_adboard_data;0.007244516055938502
trialtrial;2.txt_adboard_data;0.023597069423002832
interested;6.txt_adboard_data;0.022396618630321618
drm;28.txt_adboard_data;0.011186758837571713
questionsquestions;1.txt_adboard_data;0.005794789095831461
holds;25.txt_adboard_data;0.006294189943566624
partnerpartner;13.txt_adboard_data;0.006196587151744546
tend;4.txt_adboard_data;0.010736383226124318
especially;16.txt_adboard_data;0.0031196752085582
working;24.txt_adboard_data;0.003109729122129859
expect;28.txt_adboard_data;0.011186758837571713
talk;25.txt_adboard_data;0.003257309487247886
useuse;38.txt_adboard_data;0.007506670739445982
managermanager;16.txt_adboard_data;0.024889893208473915
question;2.txt_adboard_data;0.008973614915959148
friday;30.txt_adboard_data;0.005289710833878043
without;25.txt_adboard_data;0.0022299606676371817
good;34.txt_adboard_data;0.003524864943750964
teams;19.txt_adboard_data;0.00223207038034408
actually;23.txt_adboard_data;0.005152312593770115
non-experienced;20.txt_adboard_data;0.013503898424379301
see;24.txt_adboard_data;0.0020278407800969843
without;35.txt_adboard_data;0.012711853081216785
libre;8.txt_adboard_data;0.0056739069009997065
medication;22.txt_adboard_data;0.004586664910444517
np;30.txt_adboard_data;0.009287190460502599
prefer;40.txt_adboard_data;0.013911444856587967
perspectiveperspective;25.txt_adboard_data;0.003944538484041385
dayannadayanna;31.txt_adboard_data;0.0040230150431326125
coupons;10.txt_adboard_data;0.03188082051924557
supportsupport;36.txt_adboard_data;0.0022266482956946965
happened;29.txt_adboard_data;0.008717305320902131
hesitant;24.txt_adboard_data;0.010578316254191738
safe;30.txt_adboard_data;0.00650362883836131
visit;34.txt_adboard_data;0.005389213163564008
day;35.txt_adboard_data;0.012711853081216785
give;28.txt_adboard_data;0.005616101812474402
workflow;31.txt_adboard_data;0.005913269530696162
specialistspecialist;24.txt_adboard_data;0.0024437094548093547
gi;21.txt_adboard_data;0.004120991252467614
pivotal;16.txt_adboard_data;0.010515924040360046
specify;6.txt_adboard_data;0.011789117672077168
rep;30.txt_adboard_data;0.003365696317821809
meant;28.txt_adboard_data;0.013753970617423363
monthmonth;22.txt_adboard_data;0.007208651279580818
hand;33.txt_adboard_data;0.0124787008342328
yes;33.txt_adboard_data;0.006158834902106011
educator;18.txt_adboard_data;0.005593866828003147
healthy;10.txt_adboard_data;0.015940410259622784
sees;26.txt_adboard_data;0.009079638304900509
patient;27.txt_adboard_data;0.0019362200305045412
support;26.txt_adboard_data;0.005254350792611487
supposesuppose;8.txt_adboard_data;0.0056739069009997065
exclusively;30.txt_adboard_data;0.00650362883836131
loss;5.txt_adboard_data;0.005603756746093437
communications;25.txt_adboard_data;0.005119364213804004
pa;1.txt_adboard_data;0.005003499906773979
requestrequest;30.txt_adboard_data;0.005289710833878043
might;1.txt_adboard_data;0.00871393912706601
turnturn;27.txt_adboard_data;0.014506140885563703
need;34.txt_adboard_data;0.002509757039049217
providers;31.txt_adboard_data;0.0015469567163109196
details;22.txt_adboard_data;0.006240954124191404
talktalk;25.txt_adboard_data;0.005119364213804004
conversation;18.txt_adboard_data;0.006658652386931036
follow-up;31.txt_adboard_data;0.004646807517145173
diabetics;13.txt_adboard_data;0.014314809886940108
parentsparents;13.txt_adboard_data;0.017599867614712363
therapies;18.txt_adboard_data;0.005171299129824278
keeps;24.txt_adboard_data;0.0021156632508383478
needneed;36.txt_adboard_data;0.0030897711516449447
issue;18.txt_adboard_data;0.008327068315860362
neurologists;26.txt_adboard_data;0.009397616613575807
adopt;25.txt_adboard_data;0.005119364213804004
moreover;24.txt_adboard_data;0.006009016289165547
varian;22.txt_adboard_data;0.006240954124191404
waysways;13.txt_adboard_data;0.007157404943470054
asked;7.txt_adboard_data;0.013629876577845763
management;29.txt_adboard_data;0.018415209704480268
require;1.txt_adboard_data;0.005794789095831461
homeshomes;34.txt_adboard_data;0.011321866057025329
initiated;18.txt_adboard_data;0.008275189171000626
good;28.txt_adboard_data;0.00214102907694503
think;35.txt_adboard_data;0.002513103927501406
spread;24.txt_adboard_data;0.0024437094548093547
site;25.txt_adboard_data;0.00788907696808277
ocegueda;25.txt_adboard_data;0.019543856923487316
calls;39.txt_adboard_data;0.02721103501030957
line;1.txt_adboard_data;0.016505515642442674
contact;25.txt_adboard_data;0.0018212114187949983
jejunum;24.txt_adboard_data;0.0030045081445827736
pandemic;23.txt_adboard_data;0.042063696161440185
quicker;20.txt_adboard_data;0.013503898424379301
experienceexperience;34.txt_adboard_data;0.01924512945978848
say;6.txt_adboard_data;0.004813801553549487
use;1.txt_adboard_data;0.0020499214566494965
j-tube;30.txt_adboard_data;0.004075792829394776
thingsthings;27.txt_adboard_data;0.006904929365816385
formed;31.txt_adboard_data;0.022852751179718817
ask;7.txt_adboard_data;0.00933104109153147
coordinator;16.txt_adboard_data;0.004048826925126491
half;10.txt_adboard_data;0.015940410259622784
plugplug;19.txt_adboard_data;0.008626183662495488
optionoption;8.txt_adboard_data;0.009988387234668442
key;31.txt_adboard_data;0.006474258936216023
listlist;30.txt_adboard_data;0.00650362883836131
make;35.txt_adboard_data;0.004252940689121216
test;23.txt_adboard_data;0.014021232053813395
flowing;25.txt_adboard_data;0.006294189943566624
sign;8.txt_adboard_data;0.0027007821507242084
help;3.txt_adboard_data;0.007691330875378674
smartphonessmartphones;8.txt_adboard_data;0.0028369534504998533
touchpoints;26.txt_adboard_data;0.009079638304900509
proceduralistproceduralist;28.txt_adboard_data;0.009685036214948881
development;11.txt_adboard_data;0.011080338042526262
thanksthanks;8.txt_adboard_data;0.008102346452172626
kitkit;5.txt_adboard_data;0.003031782050138167
coverscovers;24.txt_adboard_data;0.0030045081445827736
comfortablecomfortable;16.txt_adboard_data;0.004048826925126491
muchmuch;5.txt_adboard_data;0.0039037739411321103
jessicajessica;20.txt_adboard_data;0.006427861518723616
overview;24.txt_adboard_data;0.007331128364428064
expected;24.txt_adboard_data;0.0024437094548093547
phone;26.txt_adboard_data;0.009397616613575807
dealing;31.txt_adboard_data;0.005713187794929704
md;25.txt_adboard_data;0.00973409075629467
newernewer;16.txt_adboard_data;0.0049779786416947825
needneed;6.txt_adboard_data;0.006679790965937167
pack;0.txt_adboard_data;0.016504764740908034
mds;16.txt_adboard_data;0.0028205551665820474
formal;27.txt_adboard_data;0.014506140885563703
nice;28.txt_adboard_data;0.005225877680408378
criteriacriteria;16.txt_adboard_data;0.020244134625632456
days;35.txt_adboard_data;0.008539429553859876
peg-jpeg-j;21.txt_adboard_data;0.010717048270640156
option;12.txt_adboard_data;0.015882748739473165
procedures;25.txt_adboard_data;0.003257309487247886
casescases;28.txt_adboard_data;0.009685036214948881
appropriate;11.txt_adboard_data;0.008915822687585624
key;36.txt_adboard_data;0.0030897711516449447
phdphd;25.txt_adboard_data;0.0035663290750342497
since;24.txt_adboard_data;0.002128926850980481
staffstaff;6.txt_adboard_data;0.016602919225626653
centercenter;16.txt_adboard_data;0.0035053080134533486
generalgeneral;34.txt_adboard_data;0.007095358858489077
local;2.txt_adboard_data;0.015014160917783225
logged;35.txt_adboard_data;0.017939961674900036
outpatient;19.txt_adboard_data;0.003508042841050363
irir;36.txt_adboard_data;0.006179542303289889
talk;39.txt_adboard_data;0.017313627004290566
tube;19.txt_adboard_data;0.011247323982728234
smooth;40.txt_adboard_data;0.019303983066699153
schedule;9.txt_adboard_data;0.011507859865127262
follow;32.txt_adboard_data;0.0070846267820545705
meetingsmeetings;35.txt_adboard_data;0.011242887466591387
visual;8.txt_adboard_data;0.0056739069009997065
testimonial;6.txt_adboard_data;0.011789117672077168
embrace;8.txt_adboard_data;0.01702172070299912
would;11.txt_adboard_data;0.0005510725773228719
seen;21.txt_adboard_data;0.009414940239694844
desire;13.txt_adboard_data;0.008799933807356181
kit;5.txt_adboard_data;0.002617786593154475
clinicians;8.txt_adboard_data;0.0035558100925659544
placements;25.txt_adboard_data;0.005119364213804004
tag;35.txt_adboard_data;0.017939961674900036
mail;2.txt_adboard_data;0.01818185707487826
parkinsonparkinson;24.txt_adboard_data;0.006009016289165547
daysdays;39.txt_adboard_data;0.01895616355198385
nice;17.txt_adboard_data;0.011287895789682097
symptoms;24.txt_adboard_data;0.0042313265016766955
patientspatients;28.txt_adboard_data;0.001156943277933898
involvedinvolved;33.txt_adboard_data;0.029867871850168697
open;18.txt_adboard_data;0.007364802865773472
prevent;29.txt_adboard_data;0.007090199263249677
well;36.txt_adboard_data;0.0018282808027782432
tipstips;8.txt_adboard_data;0.0028369534504998533
