Community Name,Room,Topic,Topic Start Date,Topic End Date,Advisor Name,Subtopic,Private Question,Question Number,Question Title,Question Details,Advisor Selections,Advisor Comment,Replied to Response,Replied to Response From,Date/Time Posted
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Richard A Pierce, MD, PhD",Duopa Enrollment,N,5,"As shown in the resource, only 33% of enrollment forms come in with complete chart notes and half of patients never start on Duopa. From your perspective, what do you think of these numbers?",,,"I think that 50% of patients never starting to open seems quite high based on our experience here at Vanderbilt.  Again, I never encounter those patients who might see one of our movement disorder neurologists and start the process, but then halt it before seeing me for their tube placement consult.  I would say that pretty much 100% of patients that actually get the tube at least start the therapy.  I would estimate that I have removed about 10% of the tubes that I have put in for various reasons, including patient dissatisfaction with either the tube itself or just lack of Duopa efficacy.",,,12/10/20 14:47
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Carolyn Taylor, RN, MSN, AGPCNP-BC",Duopa Enrollment,N,5,"As shown in the resource, only 33% of enrollment forms come in with complete chart notes and half of patients never start on Duopa. From your perspective, what do you think of these numbers?",,,"The average time to PEG-J procedure/% of patients who do not start Duopa is not surprising to me based on my own experiences.

Regarding completeness of chart notes, I would guess this is less common at academic centers where we (mostly) have adequate staffing and resources to help with the insurance approval process. My guess is you are more likely to see incomplete documentation in community based practices where there may not be as much support staff or familiarity with prescribing specialty medications. I would also guess that practices that have an NP/PA involved in the Duopa prescribing process are more likely to submit complete documentation.",,,12/2/20 10:10
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Sandeep Thakkar, D.O.",Duopa Enrollment,N,5,"As shown in the resource, only 33% of enrollment forms come in with complete chart notes and half of patients never start on Duopa. From your perspective, what do you think of these numbers?",,,"That number is quite low. I don't know if the explanation of the procedure to patients and family affects the notes but the key is making sure there is good communication between proceduralist and MDS, making sure all detailed factors are written based on PD criteria for Duopa. Patients need to understand that the criteria for Duopa are affecting their QOL and we need to send patients to the proceduralists only when the patient is comfortable moving forward.",,,12/9/20 12:42
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,Douglas Varian,Duopa Enrollment,N,5,"As shown in the resource, only 33% of enrollment forms come in with complete chart notes and half of patients never start on Duopa. From your perspective, what do you think of these numbers?",,,@all Great insights into your process and workflow for submitting Duopa patient enrollment forms.  My question to all on the Neurologist side: Does Duopa require extra work for chart notes as compared to other advanced therapies after a prescription is submitted?,,,12/10/20 11:47
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Leonard Verhagen, MD, PhD",Duopa Enrollment,N,5,"As shown in the resource, only 33% of enrollment forms come in with complete chart notes and half of patients never start on Duopa. From your perspective, what do you think of these numbers?",,,The 33% would be something you can work on. Perhaps you can provide especially new centers with a 'script' they can convert into a EMR smartphrase forcing them to touch upon all necessary points in their documentation.,,,12/7/20 8:12
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Leonard Verhagen, MD, PhD",Duopa Enrollment,N,5,"As shown in the resource, only 33% of enrollment forms come in with complete chart notes and half of patients never start on Duopa. From your perspective, what do you think of these numbers?",,,This is true. Dayanna Ocegueda keeps me in line and makes sure the notes are complete!,I think those numbers are pretty low. It can all be brought up with the proper training. I worked closely with the DuoConnect nurse case manager to make sure all the pivotal information needed was in the notes I was submitting. I have a check list with the criteria needed for approval. Prior to submitting any forms I go through the notes to make sure everything needed is documented if not Leonard Verhagen Jessica Karl will addend the notes as necessary.,Dayanna Ocegueda,12/9/20 15:31
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Leonard Verhagen, MD, PhD",Duopa Enrollment,N,5,"As shown in the resource, only 33% of enrollment forms come in with complete chart notes and half of patients never start on Duopa. From your perspective, what do you think of these numbers?",,,"agree with Jessica Karl, PhD, PA-C . It is perhaps an idea to provide newer sites with examples of the exact wording needed to get approval so that newer sites don't get delayed or rejected. Sites could make that into smart phrases so the documentation is even easier. You can include in such examples also a smart phrase that would help remind sites to check labs from time to time.",@all Great insights into your process and workflow for submitting Duopa patient enrollment forms.  My question to all on the Neurologist side: Does Duopa require extra work for chart notes as compared to other advanced therapies after a prescription is submitted?,Douglas Varian,12/11/20 7:40
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Avram Fraint, MD, MS",Final Feedback on the Platform/Engagement,Y,2,Do you feel the 1-hour kickoff call on December 1st helped setup the discussion in this virtual platform?,,Yes,The instructions were simple and clear.,,,12/10/20 6:49
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Caitlin Houghton, MD",Final Feedback on the Platform/Engagement,Y,2,Do you feel the 1-hour kickoff call on December 1st helped setup the discussion in this virtual platform?,,Yes,I think that the kick-off was important to A. understand the expectation and use of the platform and B. adds a personal touch to put some faces to the names in the group.,,,12/10/20 15:09
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Carolyn Taylor, RN, MSN, AGPCNP-BC",Final Feedback on the Platform/Engagement,Y,2,Do you feel the 1-hour kickoff call on December 1st helped setup the discussion in this virtual platform?,,Yes,It was helpful to walk through the functionalities of the platform.,,,12/8/20 7:09
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,Dayanna Ocegueda,Final Feedback on the Platform/Engagement,Y,2,Do you feel the 1-hour kickoff call on December 1st helped setup the discussion in this virtual platform?,,Yes,The slides presented in the virtual meeting represented exactly what would be discussed and how to navigate the page.,,,12/10/20 8:26
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Harold Boutte, Jr, MD",Final Feedback on the Platform/Engagement,Y,2,Do you feel the 1-hour kickoff call on December 1st helped setup the discussion in this virtual platform?,,Yes,I appreciated the transparency of how the system operates and also the expectations being set on how to utilize the platform in a way that would be helpful for us as providers and giving appropriate feedback and insight through the threads.,,,12/10/20 7:59
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Jessica Karl, PhD, PA-C",Final Feedback on the Platform/Engagement,Y,2,Do you feel the 1-hour kickoff call on December 1st helped setup the discussion in this virtual platform?,,Yes,I thought the 1-hour kickoff was sufficient in providing background for the platform and what was expected of the participants. It was also nice to see everyone virtually!,,,12/10/20 12:52
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Sanjiv Parikh, MD, DRM",Final Feedback on the Platform/Engagement,Y,2,Do you feel the 1-hour kickoff call on December 1st helped setup the discussion in this virtual platform?,,Yes,Very helpful to get oriented.,,,12/11/20 17:16
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,Tom Davis,Final Feedback on the Platform/Engagement,Y,2,Do you feel the 1-hour kickoff call on December 1st helped setup the discussion in this virtual platform?,,Yes,He has but it is still much harder to discuss in this format versus in person or virtually real-time.,,,12/10/20 6:17
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,Tom Davis,Final Feedback on the Platform/Engagement,Y,2,Do you feel the 1-hour kickoff call on December 1st helped setup the discussion in this virtual platform?,,,"Should have been, yes the website was helpful but I am a terrible typist and it is much easier to discuss, real-time.",Answer: Yes.  Comment: He has but it is still much harder to discuss in this format versus in person or virtually real-time.,Tom Davis,12/10/20 6:20
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Harold Boutte, Jr, MD",Best Practices for Successful Duopa Treatment Teams,N,11,Do you have comments and/or suggestions about any of the AbbVie-provided support resources offered?,,,"I'm sure this is already being done, but if each patient  is mandatorily assigned a Nurse Educator, that would be tremendous. I have seen patients that felt ""over-confident"" in their abilities since they have had tubes before and then ultimately fail to seek help until there are large issues because they tried to inappropriately manipulate the connectors. Not sure if that will entirely fix the issue, but at least would provide more of an ""opt out"" scenario as opposed to ""opt-in"" for support.",,,12/10/20 7:56
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Harold Boutte, Jr, MD",Best Practices for Successful Duopa Treatment Teams,N,11,Do you have comments and/or suggestions about any of the AbbVie-provided support resources offered?,,,Maybe providing semi-annual to annual updates regarding the medication or company changes along with any patient specific handouts they would like us to distribute to patients during those points of contact in clinic or after their procedures.,@all How can your local Account executive / representative be more helpful?,Douglas Varian,12/10/20 12:15
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,Tom Davis,Best Practices for Successful Duopa Treatment Teams,N,11,Do you have comments and/or suggestions about any of the AbbVie-provided support resources offered?,,,I do not have any further suggestions.,,,12/6/20 6:42
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Avram Fraint, MD, MS",Best Practices for Successful Duopa Treatment Teams,N,11,Do you have comments and/or suggestions about any of the AbbVie-provided support resources offered?,,,None,,,12/2/20 11:00
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Caitlin Houghton, MD",Best Practices for Successful Duopa Treatment Teams,N,11,Do you have comments and/or suggestions about any of the AbbVie-provided support resources offered?,,,"pretty satisfied as well.  But update on changes from the company side would be helpful like Harold Boutte, Jr, MD mentioned",@all How can your local Account executive / representative be more helpful?,Douglas Varian,12/10/20 15:01
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Jessica Karl, PhD, PA-C",Best Practices for Successful Duopa Treatment Teams,N,11,Do you have comments and/or suggestions about any of the AbbVie-provided support resources offered?,,,I am very happy!,,,12/4/20 9:56
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,Dayanna Ocegueda,Best Practices for Successful Duopa Treatment Teams,N,11,Do you have comments and/or suggestions about any of the AbbVie-provided support resources offered?,,,No suggestions.,,,12/10/20 8:23
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Sanjiv Parikh, MD, DRM",Best Practices for Successful Duopa Treatment Teams,N,11,Do you have comments and/or suggestions about any of the AbbVie-provided support resources offered?,,,"I believe podcasts targeted to potential Parkinson's patients AFTER their physicians have initiated the conversation regarding Duopa Gel Treatment with a dedicated GJ tube may help facilitate better understanding. Also providing periodic updates would be worthwhile. Having coordinated zoom conferences on line may also be a consideration, basically a platform for patients and families to ask questions to a panel.",,,12/11/20 17:16
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Carolyn Taylor, RN, MSN, AGPCNP-BC",Best Practices for Successful Duopa Treatment Teams,N,11,Do you have comments and/or suggestions about any of the AbbVie-provided support resources offered?,,,"I think this is a regulatory thing, but it would be helpful if nurse ambassadors could communicate with the patient's treatment team directly. Currently I think the nurse ambassador has to speak with Duoconnect, who then has to relay the issue to me (correct me if I'm wrong). I feel like this makes communication feel less familiar and more disjointed. I imagine patients would be more satisfied if there could be more open lines of communication.",,,12/2/20 10:37
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Sandeep Thakkar, D.O.",Best Practices for Successful Duopa Treatment Teams,N,11,Do you have comments and/or suggestions about any of the AbbVie-provided support resources offered?,,,I do think having younger patients with Duopa need to be involved with any marketing such as their success stories. Abbvie needs to show that dyskinesias can be better controlled with Duopa. There has been post marketing data about this.,,,12/10/20 21:17
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,Douglas Varian,Best Practices for Successful Duopa Treatment Teams,N,11,Do you have comments and/or suggestions about any of the AbbVie-provided support resources offered?,,,@all How can your local Account executive / representative be more helpful?,,,12/10/20 11:52
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Leonard Verhagen, MD, PhD",Best Practices for Successful Duopa Treatment Teams,N,11,Do you have comments and/or suggestions about any of the AbbVie-provided support resources offered?,,,Satisfied,,,12/7/20 12:17
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Leonard Verhagen, MD, PhD",Best Practices for Successful Duopa Treatment Teams,N,11,Do you have comments and/or suggestions about any of the AbbVie-provided support resources offered?,,,I think our account executive is helpful and responsive,@all How can your local Account executive / representative be more helpful?,Douglas Varian,12/11/20 7:26
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Leonard Verhagen, MD, PhD",Best Practices for Successful Duopa Treatment Teams,N,11,Do you have comments and/or suggestions about any of the AbbVie-provided support resources offered?,,,"This is an interesting point. In general younger patients tend to be 'automatically' directed towards DBS and the question is if that in the end is always the best strategy. For instance, young patients who are fluctuators, but don't have significant dyskinesias or LD resistant tremor, and who are on not on very high daily doses of LD could be good candidates for infusion therapies as well. So showing that possibility may change the image of Duopa as a therapy for only those who are no good candidates for DBS.",I do think having younger patients with Duopa need to be involved with any marketing such as their success stories. Abbvie needs to show that dyskinesias can be better controlled with Duopa. There has been post marketing data about this.,"Sandeep Thakkar, D.O.",12/11/20 7:29
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Harold Boutte, Jr, MD",Duopa Enrollment,N,4,"Fill in the blanks for your estimates of the following types of data in the Duopa enrollment process.<br />
<br />
Looking at data across the US, about ___% of patients enrolled never start Duopa treatment.",,,I'd agree with 30-40% of patients not enrolling. The primary concerns being the fear about managing the tube itself or the tube becoming dislodged or clogged. We have established a process where our patients here at NMH can reach out to us 24/7 with tube related issues and can get an appointment in clinic within 24-48 hours to help troubleshoot the tube or arrange tube replacement endoscopically within a week as an outpatient as long as there is not another reason for admission.,,,12/10/20 7:26
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Harold Boutte, Jr, MD",Duopa Enrollment,N,4,"Fill in the blanks for your estimates of the following types of data in the Duopa enrollment process.<br />
<br />
Looking at data across the US, about ___% of patients enrolled never start Duopa treatment.",,,"I can personally attest to the degree of attention that Carolyn Taylor and Avram Fraint contribute to this patient population, and have seen more patients signing up for these tubes now with their care protocol and attention to detail as well.","Absolutely we recommend all patients considering Duopa speak with a current Duopa patient, and sometimes even recommend the care partner speak to another care partner.","Carolyn Taylor, RN, MSN, AGPCNP-BC",12/10/20 7:28
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Harold Boutte, Jr, MD",Duopa Enrollment,N,4,"Fill in the blanks for your estimates of the following types of data in the Duopa enrollment process.<br />
<br />
Looking at data across the US, about ___% of patients enrolled never start Duopa treatment.",,,"Fear of the tube getting dislodged due to loved ones becoming confused at night and pulling out the tube or getting caught on as doors, etc. Also agree with the dexterity being an issue they are concerned with in order to work the pump or troubleshoot it when it alarms. The patient support program has been helpful with mitigating these fears and also we try our best to take the ""guess work"" out of troubleshooting the tube at home and have the families call or page afterhours to  help with tube related issues. The added support gives them piece of mind, but there are still some that have those remaining fears.",Is there one or two reasons that come to mind for why patients don't start therapy?  Jessica Karl Carolyn Taylor Tom Davis,Douglas Varian,12/10/20 7:32
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,Tom Davis,Duopa Enrollment,N,4,"Fill in the blanks for your estimates of the following types of data in the Duopa enrollment process.<br />
<br />
Looking at data across the US, about ___% of patients enrolled never start Duopa treatment.",,,I think about 20% of ours never start treatment.,,,12/3/20 6:19
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,Tom Davis,Duopa Enrollment,N,4,"Fill in the blanks for your estimates of the following types of data in the Duopa enrollment process.<br />
<br />
Looking at data across the US, about ___% of patients enrolled never start Duopa treatment.",,,"They are all taking L-DOPA and have a good response so it is not the drug,   If they decide against it is is because they don't want to deal with the pump / tube.",Is there one or two reasons that come to mind for why patients don't start therapy?  Jessica Karl Carolyn Taylor Tom Davis,Douglas Varian,12/4/20 6:19
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Avram Fraint, MD, MS",Duopa Enrollment,N,4,"Fill in the blanks for your estimates of the following types of data in the Duopa enrollment process.<br />
<br />
Looking at data across the US, about ___% of patients enrolled never start Duopa treatment.",,,"Given that Carolyn Taylor, RN, MSN, AGPCNP-BC thinks that nearly half of our patients enrolled never start treatment, I suspect this is also the case at other centers.",,,12/2/20 10:47
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Caitlin Houghton, MD",Duopa Enrollment,N,4,"Fill in the blanks for your estimates of the following types of data in the Duopa enrollment process.<br />
<br />
Looking at data across the US, about ___% of patients enrolled never start Duopa treatment.",,,We also I only recommend it with certain patients who are hesitant or have questions about living with the tube itself.,Douglas Varian we have certain patients with the Duopa reach out to patients who are interested in speaking with someone who has already undergone the procedure. We tend to not utilize the mentor line.,Dayanna Ocegueda,12/9/20 14:45
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Jessica Karl, PhD, PA-C",Duopa Enrollment,N,4,"Fill in the blanks for your estimates of the following types of data in the Duopa enrollment process.<br />
<br />
Looking at data across the US, about ___% of patients enrolled never start Duopa treatment.",,,30-40%,,,12/3/20 8:49
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Jessica Karl, PhD, PA-C",Duopa Enrollment,N,4,"Fill in the blanks for your estimates of the following types of data in the Duopa enrollment process.<br />
<br />
Looking at data across the US, about ___% of patients enrolled never start Duopa treatment.",,,"1) Permanent tubing/patient fear, 2) lack of a care partner",Is there one or two reasons that come to mind for why patients don't start therapy?  Jessica Karl Carolyn Taylor Tom Davis,Douglas Varian,12/4/20 7:33
